school,exam,extract,question,choiceA,choiceB,choiceC,choiceD,choiceE,choiceF,choiceG,correct_answer,rationale,question_type,image,url,wrong_answer
Certified Emergency Nurse,Certified Emergency Nurse Exam Practice Questions​,,"A middle-aged woman has abdominal pain, nausea, and vomiting. Cholecystitis would be suspected if the patient also has",Amenorrhea and diarrhea,Splenomegaly and pain in the right lower quadrant,Epigastric pain and slight jaundice,Fever and melena,,,,C,"Cholecystitis (gallbladder inflammation) often causes pain in the right upper quadrant or epigastrium that may radiate to the back or shoulder. Jaundice can occur if a gallstone obstructs the common bile duct (choledocholithiasis). Fever is common, but melena (black, tarry stool) is not typical.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Questions,,A patient with ripping substernal chest pain and dyspnea is receiving oxygen via nonrebreathing mask. Pulses in the left arm are absent. The HIGHEST priority for a nurse is to prepare the patient for,Endotracheal intubation,Immediate pericardiocentesis,Emergency surgery,Transesophageal echocardiogram,,,,C,"This describes a classic presentation of an aortic dissection (ripping pain, pulse deficit). The highest priority is to prepare for emergency surgical or endovascular repair to prevent rupture and death. Imaging (like TEE or CT) is needed for diagnosis, but preparation for definitive treatment is the critical nursing action.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Practice Exam,,"A patient presents with sharp abdominal pain, nausea, and vomiting following an insect bite earlier in the day. The nurse should suspect that the patient was bitten by a",Fire ant,Black widow spider,Hornet,Brown recluse spider,,,,B,"Black widow spider envenomation causes severe, cramping abdominal pain (mimicking an acute abdomen), muscle rigidity, nausea, and vomiting due to the neurotoxic effects of the venom. Systemic symptoms can be significant.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Sample Questions​,,"A patient is alert, dyspneic, and has pain on the left side after a motor vehicle crash. The chest radiograph reveals a diaphragmatic rupture with herniation of the stomach into the thoracic cavity. A nasogastric tube is inserted, and 300 mL of dark-colored stomach secretions is returned. A nurse should",Continue suctioning the tube,Reposition the tube,Remove the tube immediately,Irrigate the tube until clear,,,,A,"The NG tube decompresses the herniated stomach, relieving pressure on the lungs and improving ventilation. Continuous suction is maintained to keep the stomach empty and prevent further respiratory compromise. The dark color is normal for gastric secretions (bile-stained).",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Practice Questions​,,A patient with an open fracture of the humerus is being prepared for air medical transport. The MOST appropriate stabilization of the fracture is to apply,A posterior splint,A full cast,A traction device,An air splint,,,,A,"For transport, especially air transport where space is limited and swelling can increase with altitude changes, a well-padded posterior splint provides effective stabilization without the circumferential restriction of a cast. An air splint is less ideal for long bone fractures and may not provide enough support.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Questions,,A patient presents with eye irritation and difficulty opening their eyes after grinding metal. It would be MOST appropriate for the nurse to administer,Proparacaine (Alcaine),Benzonatate (Tessalon),Benzocaine (Oticaine),Propranolol (Inderal),,,,A,"Proparacaine is a topical ophthalmic anesthetic. It is used to provide pain relief to facilitate eye examination (e.g., for foreign body removal, checking for corneal abrasion with fluorescein) after a potential metal-on-metal injury that could cause corneal foreign bodies or abrasions.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Practice Exam,,A patient with a history of chronic hypertension is being treated for hypertensive crisis. Blood pressure must be lowered cautiously to,Prevent intracerebral hemorrhage and brain death,Avoid organ hypoperfusion and tissue ischemia,Decrease glomerular filtration rate and renal impairment,Prevent increased heart rate and cardiac output,,,,B,"In hypertensive crisis, the body's autoregulation of blood flow to vital organs (brain, heart, kidneys) is set at a higher pressure. A rapid, drastic reduction in BP can precipitate hypoperfusion, leading to stroke, myocardial infarction, or renal failure. The goal is a gradual, controlled reduction.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Sample Questions​,,"A patient who is 33 weeks pregnant presents with painless, bright red vaginal bleeding. The patient is gravida 3, para 2 and reports two previous cesarean sections. The PRIORITY intervention is to",Check the fetal heart tones,Prepare the patient for an ultrasound,Obtain a blood type and crossmatch,Prepare the patient for a pelvic examination,,,,A,"This presentation is highly suspicious for placenta previa (painless third-trimester bleeding). A history of prior C-sections is a risk factor. A digital pelvic exam is CONTRAINDICATED as it can cause catastrophic hemorrhage. The immediate priority is to assess fetal well-being via heart tones. Ultrasound is diagnostic, but fetal assessment comes first.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Practice Questions​,,Prior to the transfer of a patient from the emergency department to another hospital,there is confirmation that there are no risks for the transfer.,an attending physician at the receiving facility must accept the patient.,all treatment must be completed prior to the patient leaving the sending facility.,advanced life support must be able to be provided during transport to the receiving facility.,,,,B,The Emergency Medical Treatment and Active Labor Act (EMTALA) requires that a receiving physician (or their designee) accept the patient in transfer before the transfer occurs. This ensures the receiving facility has the capability and capacity to care for the patient.,Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Questions,,A sudden onset of gagging and stridor is consistent with which of the following conditions?,epiglottitis,laryngospasm,foreign body aspiration,asthma exacerbation,,,,C,"A sudden onset in a previously well person is the hallmark of foreign body aspiration. It often causes immediate gagging, choking, stridor (if the object is in the upper airway), and respiratory distress. Epiglottitis has a more gradual onset with fever. Laryngospasm can be sudden but is often associated with procedures or irritants.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Practice Exam,,A patient with chronic low back pain presents to the emergency department. Which of the following symptoms indicates a serious complication of chronic back pain?,increased sphincter tone,urinary incontinence,radiculopathy,ascending paralysis,,,,B,"Urinary (or fecal) incontinence, along with saddle anesthesia and bilateral leg weakness, constitutes cauda equina syndrome. This is a neurosurgical emergency caused by compression of the nerve roots at the end of the spinal cord. It requires immediate imaging and decompression to prevent permanent disability.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Sample Questions​,,A patient presents with symptoms of alcohol withdrawal. The nurse should prepare to administer,naloxone (Narcan).,chlorpromazine (Thorazine).,lorazepam (Ativan).,benztropine (Cogentin).,,,,C,"Benzodiazepines (like lorazepam) are the first-line treatment for alcohol withdrawal. They are cross-tolerant with alcohol, help prevent seizures, reduce autonomic hyperactivity (tremors, tachycardia), and treat agitation. Naloxone is for opioid overdose. Antipsychotics like chlorpromazine lower seizure threshold.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Practice Questions​,,Drainage of cerebrospinal fluid from the ear is MOST commonly associated with,a basilar skull fracture.,a subarachnoid hemorrhage.,increased intracranial pressure.,an orbital fracture.,,,,A,"CSF otorrhea (drainage from the ear) is a classic sign of a basilar skull fracture, which involves the bones at the base of the skull (temporal bone). The fracture tears the dura, allowing CSF to leak through the ear canal. Rhinorrhea (from the nose) can also occur.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Questions,,"A patient with a history of schizophrenia arrives in an agitated state and smelling of alcohol. After initial assessment, a nurse should FIRST obtain",a blood alcohol level.,a lithium level.,a fingerstick blood glucose test.,an arterial blood gas measurement.,,,,C,"In any patient with altered mental status (agitation), the first priority is to rule out immediately life-threatening and reversible causes. Hypoglycemia is a common, rapidly correctable cause of agitation and can mimic intoxication or psychiatric exacerbation. It should be checked immediately at the bedside.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Practice Exam,,A natural disaster struck the community. The staff is determining how many patients they can accept. Which of the following is the PRIORITY consideration?,facility structural damage,national response to the disaster,psychological effects to staff,overflow morgue capabilities,,,,A,"During disaster surge capacity planning, the absolute priority is safety. If the facility itself is structurally damaged, it cannot safely care for patients or staff. All other considerations (resources, staff stress, morgue space) are secondary to the physical integrity of the building.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Sample Questions​,,Acute renal failure in a patient who sustains a crushing injury is MOST likely due to,myoglobinuria.,hypercalcemia.,elevated uric acid levels.,hypernatremia.,,,,A,"Crush injuries cause rhabdomyolysis (muscle breakdown), releasing myoglobin into the bloodstream. Myoglobin is directly toxic to renal tubules, especially in the setting of dehydration and acidosis, leading to acute renal failure. This is a well-known complication of major trauma.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Practice Questions​,,"ST segment elevation in leads II, III, and aVF on an ECG indicates ischemia in what area of the heart?",posterior wall,anterior wall,inferior wall,lateral wall,,,,C,"The inferior wall of the heart is supplied by the right coronary artery (RCA). Leads II, III, and aVF are the inferior leads. ST elevation in these leads indicates an acute inferior wall myocardial infarction.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Questions,,A patient who has pericarditis will typically describe the chest pain as,mild pain that is reproducible with palpation.,sharp pain that is aggravated by deep inspiration and cough.,a burning sensation in the epigastrium that feels like indigestion.,"crushing, vise-like pain that radiates down the left arm and to the jaw.",,,,B,"Pericarditis pain is typically sharp, pleuritic (worsened by inspiration, cough, or lying flat), and positional (relieved by sitting up and leaning forward). This distinguishes it from ischemic cardiac pain, which is often pressure-like and not affected by respiration or position.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Practice Exam,,"An administration of 50% dextrose is anticipated for a patient withdrawing from alcohol. To avoid complications of this therapy, which of the following drugs should be administered INITIALLY?",naloxone (Narcan),phenytoin (Dilantin),thiamine,diazepam (Valium),,,,C,"Thiamine (Vitamin B1) must be administered BEFORE glucose in patients with suspected alcohol use disorder or malnutrition. Giving glucose without thiamine can precipitate or worsen Wernicke's encephalopathy, a devastating neurological condition caused by thiamine deficiency.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Sample Questions​,,"A patient presents with a sore throat and a temperature of 104°F (40°C). The tonsils are grossly swollen and covered with a white, patchy exudate. These symptoms are MOST consistent with",streptococcal pharyngitis.,mononucleosis.,a peritonsillar abscess.,acute epiglottitis.,,,,A,"While both strep throat and mono can cause exudative tonsillitis, the high fever is more classic for acute bacterial pharyngitis (Strep pyogenes). Mononucleosis often has more systemic symptoms like fatigue and lymphadenopathy. Peritonsillar abscess is usually unilateral with deviation of the uvula. Epiglottitis presents with drooling and respiratory distress.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Practice Questions​,,"A patient presents with confusion, tachycardia, tachypnea, and labored breathing. During assessment, the patient states that they recently had their furnace serviced. A nurse should immediately",administer 100% high-flow oxygen.,obtain a carboxyhemoglobin level.,prepare the patient for endotracheal intubation.,initiate an aerosol bronchodilator treatment.,,,,A,"The history suggests potential carbon monoxide (CO) poisoning from a malfunctioning furnace. CO binds to hemoglobin, displacing oxygen. The immediate, most critical intervention is to administer 100% oxygen via a non-rebreather mask to competitively displace CO from hemoglobin and reduce its half-life.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Questions,,A patient presents with hypotension and uncontrolled bleeding from the thigh. It would be a PRIORITY for the nurse to,apply a tourniquet.,administer packed red blood cells.,apply direct pressure.,obtain a type and cross match.,,,,A,"For life-threatening extremity hemorrhage that is uncontrolled by direct pressure, the application of a tourniquet proximal to the wound is the priority intervention per trauma guidelines (e.g., Stop the Bleed campaign). This immediately controls bleeding to prevent exsanguination while other resuscitative measures are initiated.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Practice Exam,,A patient presents with a foreign body sensation to the eye. Which of the following additional findings would be MOST concerning for corneal abrasion?,fluorescein stain uptake,abnormal pupil accommodation,bilateral decreased visual acuity,decreased intraocular pressures,,,,A,"Fluorescein dye is used to detect corneal abrasions. Under a cobalt blue light, the dye will stain the area of epithelial defect, highlighting the abrasion. This is a definitive diagnostic finding. Accommodation issues and bilateral changes are less specific. Decreased IOP is not typical for a simple abrasion.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Sample Questions​,,A 6-year-old child with a history of hydrocephalus has a shunt malfunction. Which of the following interventions is MOST important in planning this child's care?,Elevate the head of the bed 30°.,Encourage frequent intake of oral fluids in small amounts.,Insert a nasogastric tube.,Measure baseline head circumference.,,,,A,"Elevating the head of the bed promotes venous drainage from the brain, which can help reduce intracranial pressure (ICP) while awaiting definitive management (e.g., shunt revision). This is a standard, immediate nursing intervention for suspected increased ICP.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Practice Questions​,,"A patient with a cultural prohibition is refusing blood products after critical post-partum hemorrhaging. The patient has been informed of the risks of refusal, including probable death, and continues to refuse. The patient's husband is demanding administration of blood products. The nurse's PRIORITY is to",assess the patient for mental competency.,administer an anxiolytic medication.,request that the patient sign a release of responsibility.,notify the supervisor and implement social policy.,,,,A,"The foundational ethical and legal principle is patient autonomy. The nurse's first priority is to ensure the patient has decision-making capacity (is alert, oriented, and understands the risks/benefits). If she is competent, her refusal must be honored, regardless of family wishes. The situation should be escalated to supervisors and ethics.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Questions,,A patient presents 6 hours after intentionally ingesting an entire bottle of acetaminophen (Tylenol). Which of the following is the PRIORITY intervention?,1 L 0.9% saline bolus,oral activated charcoal,N-Acetylcysteine (Mucomyst),rapid sequence intubation,,,,C,"N-acetylcysteine (NAC) is the specific antidote for acetaminophen overdose. It works best if started within 8-10 hours of ingestion to prevent or limit hepatotoxicity. While activated charcoal may be considered if the patient presents early and is alert, starting the antidote is the definitive treatment priority.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Practice Exam,,"A pregnant woman in her third trimester presents following a motor vehicle crash. Upon placing her supine, she becomes hypotensive. This is MOST likely due to",sympathetic reaction.,fetal distress.,compression of the vena cava.,hemorrhage.,,,,C,"This is supine hypotensive syndrome. After 20 weeks, the gravid uterus can compress the inferior vena cava when the mother is supine, reducing venous return to the heart and causing hypotension. It is relieved by positioning the patient on her left side.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Sample Questions​,,"A patient presents with lethargy, chills, fever, lower back pain, and dysuria. The patient is MOST likely exhibiting signs of",urinary tract infection.,urinary calculi.,interstitial cystitis.,pyelonephritis.,,,,D,"Pyelonephritis is an upper urinary tract infection (kidney infection). It presents with systemic signs of infection (fever, chills, lethargy) along with flank/back pain and urinary symptoms (dysuria). A simple lower UTI (cystitis) typically lacks the systemic symptoms and flank pain.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Practice Questions​,,A patient presents with penetrating trauma requiring the use of resuscitative endovascular balloon occlusion of the aorta (REBOA). The nurse should recognize that REBOA is an alternative to,intra-aortic balloon pump.,needle thoracentesis.,tube thoracostomy.,cross-clamping the aorta.,,,,D,"REBOA is a minimally invasive procedure where a balloon is inserted into the aorta (via the femoral artery) and inflated to temporarily control non-compressible truncal hemorrhage. It is an alternative to emergency department thoracotomy with aortic cross-clamping, which is a highly invasive open procedure.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Questions,,A patient is complaining of chest pain and shortness of breath after a lung biopsy. Decreased breath sounds are noted on the left side. It would be a PRIORITY for the nurse to,administer surfactant.,send for a ventilation/perfusion scan.,prepare for tube thoracostomy.,administer antibiotics.,,,,C,"This is a classic presentation of an iatrogenic pneumothorax, a known complication of lung biopsy. Decreased breath sounds and pain/dyspnea post-procedure are key indicators. Tube thoracostomy (chest tube insertion) is the definitive treatment to re-expand the lung.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Practice Exam,,Which of the following symptoms in a 3-year-old child suggest a diagnosis of pertussis?,"dyspnea, expiratory wheezes, and a temperature of 98.6�F (37�C)","paroxysmal explosive cough, hypoxia, and a temperature of 102�F (38.8�C)","drooling, dysphagia, and a temperature of 102.2�F (39�C)","barking cough, recent upper respiratory infection, and a temperature of 100.4�F (38�C)",,,,B,"Pertussis (whooping cough) is characterized by severe paroxysms (fits) of coughing, often followed by an inspiratory ""whoop,"" post-tussive vomiting, and cyanosis/hypoxia. Fever may be low-grade or absent. The other options describe asthma, epiglottitis, and croup, respectively.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Sample Questions​,,Which of the following characteristics indicates the late phase of septic shock?,increased temperature,increased rate and depth of respirations,"weak, thready pulses","flushed, dry skin",,,,C,"In the late (decompensated) phase of septic shock, the patient progresses from a hyperdynamic state (warm, flushed, bounding pulses) to a hypodynamic state due to myocardial depression and worsening vasodilation. This results in weak, thready pulses, cool/clammy skin, and profound hypotension.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Practice Questions​,,A patient is being discharged with renal calculi. Which of the following statements from the patient demonstrates that discharge instructions have been effective?,"""I should increase the amount of milk I drink every day.""","""I can continue to drink multiple soft drinks every day.""","""I should avoid eating spinach.""","""I should decrease my fluid intake.""",,,,C,"Spinach is high in oxalate. For calcium oxalate stones (the most common type), dietary counseling often includes limiting high-oxalate foods (like spinach, nuts, chocolate) to reduce stone recurrence. Increasing fluids is key; decreasing fluids is incorrect. Milk in moderation is usually fine.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Questions,,"A patient presents with hoarse voice, intraoral burns, dizziness, and hypoxia after a propane tank explosion. What is the PRIORITY nursing action?",Apply 2 L oxygen via nasal cannula.,Insert a nasopharyngeal airway.,Begin fluid resuscitation.,Prepare for endotracheal intubation.,,,,D,"The combination of hoarseness, intraoral burns, and hypoxia following an explosion or fire is highly suggestive of inhalation injury and potential upper airway edema. This is a precursor to rapid, complete airway obstruction. Preparing for immediate, definitive airway control via intubation is the highest priority.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Practice Exam,,A 2-year-old child in shock is prepared for intubation. A nurse should anticipate that the physician will request,the smallest uncuffed tube available.,a tube that approximately equals the diameter of the patient's little finger.,a 5-mm tracheal tube.,a tube that extends from the tip of the nose to the xiphoid process.,,,,B,A common rule of thumb for pediatric endotracheal tube sizing is that the external diameter of the tube should approximate the diameter of the child's little finger. Cuffed tubes are now commonly used even in young children when managed appropriately. Fixed sizes (like 5mm) are not age-appropriate for all 2-year-olds.,Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Sample Questions​,,The nurse is resuscitating a patient with heat stroke. Which of the following regarding treatment is correct?,Administer numerous fluid boluses due to dehydration.,Immediate cooling will decrease mortality.,An anticholinergic should be given to prevent sweating.,An antipyretic to bring the temperature down.,,,,B,"The cornerstone of heat stroke treatment is rapid, active external cooling (e.g., ice packs, cooling blankets, evaporative cooling) to reduce core temperature as quickly as possible. This is the single most important intervention to decrease morbidity and mortality. Antipyretics are ineffective. Fluids are given cautiously.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Practice Questions​,,A patient with gout has undergone aspiration of a painful joint. Which of the following would MOST likely be found in the laboratory analysis of the synovial fluid?,red blood cells,crystals,bacteria,increased protein,,,,B,"Gout is caused by the deposition of monosodium urate crystals in joints. Synovial fluid analysis in gout typically reveals needle-shaped, negatively birefringent crystals under polarized light, along with inflammatory cells. Septic arthritis would show bacteria.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Questions,,A patient presents with palpitations and has the ECG rhythm shown below. [Narrow-complex regular tachycardia shown] The nurse should anticipate administering,amiodarone.,adenosine (Adenocard).,diltiazem (Cardizem).,metoprolol (Lopressor).,,,,B,"The ECG rhythm is regular, narrow-complex, and rapid, consistent with supraventricular tachycardia (SVT), which originates above the ventricles and commonly involves an AV nodal re-entry mechanism. Adenosine is the first-line treatment for stable SVT because it transiently blocks AV node conduction, interrupting the re-entry pathway and often restoring normal sinus rhythm. Other medications such as beta blockers or calcium channel blockers are used for rate control, while amiodarone is reserved for ventricular dysrhythmias. Therefore, adenosine is the most appropriate medication to anticipate administering.",Regular,CEN1.png,,
Certified Emergency Nurse,Certified Emergency Nurse Practice Exam,,"Following an assault, a patient presents with hypotension, decreased breath sounds on the right side, a respiratory rate of 36 breaths/min, and dullness to percussion over the right lateral chest. Which of the following should a nurse suspect?",tension pneumothorax,pneumonia,pulmonary embolus,hemothorax,,,,D,"Decreased breath sounds PLUS dullness to percussion (indicating fluid, not air) in the context of trauma and hypotension is classic for a hemothorax (blood in the pleural space). Tension pneumothorax causes hyper-resonance, tracheal deviation, and severe respiratory distress.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Sample Questions​,,A patient is being transferred to another hospital. The legal responsibility of the referring hospital terminates at the time,the report is given to the transport team.,of physician acceptance at the receiving hospital.,the patient departs the referring hospital.,of patient arrival at the receiving hospital.,,,,D,"Under EMTALA, the legal responsibility of the transferring hospital continues until the patient is physically received and care is assumed by the receiving hospital. The handoff is not complete until the patient arrives and is accepted into the new facility's care.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Practice Questions​,,Which of the following findings may be present in a patient who is experiencing cyanide poisoning?,soapy white mucous membranes,bitter almond breath odor,tongue and throat swelling,increased salivation,,,,B,"Cyanide poisoning can sometimes be associated with a characteristic smell of bitter almonds on the patient's breath. However, the ability to detect this odor is genetically determined (many people cannot smell it). Soapy mucous membranes are associated with fluoride poisoning. Swelling and salivation are not typical.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Questions,,The nurse should change the initial assigned triage acuity score when the,physician's assessment does not match the nurse;s findings.,patient deteriorates after receiving a medical screening exam.,patient's status changes while in triage or in the waiting room.,charge nurse tells the nurse to change the score.,,,,C,"Triage is a dynamic process. If a patient's condition changes (e.g., worsens) while still in the waiting area or triage zone, the triage nurse must reassess and upgrade the acuity level accordingly to ensure timely care.",Regular,,,
