school,exam,extract,question,choiceA,choiceB,choiceC,choiceD,choiceE,choiceF,choiceG,correct_answer,rationale,question_type,image,url,wrong_answer
Medical Assistant,American Association of Medical Assistants Exam,,The main purpose of linking diagnostic codes with procedure codes is to confirm which of the following?,Local coverage determinations,Medical necessity,National coverage determinations,Prior authorizations,"Usual, customary, and reasonable fee requirements are met",,,B,"Linking diagnostic and procedure codes confirms medical necessity, justifying the procedure for insurance reimbursement. Coverage determinations and prior authorizations are related but secondary, and fee requirements are unrelated to coding linkage.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following immunizations is safe to give during pregnancy?,Measles,Mumps,Rubella,Tetanus,Varicella,,,D,"Tetanus (Tdap) is safe and recommended during pregnancy to protect mother and baby. Measles, mumps, rubella, and varicella vaccines are live vaccines, contraindicated in pregnancy due to fetal risks.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following is the most appropriate response?,Ask him to call back after he calms down,Forward the call to the office manager,Offer to notify the insurance clerk and say the clerk will return his call,Place him on hold until he calms down,Remain calm and ask him to explain the problem,,,E,"Remaining calm and asking the patient to explain the problem de-escalates the situation and gathers information. Redirecting, delaying, or dismissing the patient may escalate frustration.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following nutrients is the body's primary source of energy?,Carbohydrates,Lipids,Minerals,Proteins,Vitamins,,,A,"Carbohydrates are the body’s primary energy source, broken down into glucose for fuel. Lipids provide long-term energy, proteins build tissue, and minerals and vitamins support metabolic functions.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following is the portion of a centrifuged urine sample used for microscopic examination?,Artifacts,Casts,Crystals,Sediment,Supernatant,,,D,"Sediment, the solid material settled after centrifugation, is used for microscopic urine examination to identify cells, casts, or crystals. Supernatant is the liquid portion, and artifacts, casts, or crystals are components within sediment.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following is the most important document to have available for the cardiologist to review?,Abdominal ultrasound report,Chest x-ray report,Clinic notes from the referring office,Immunization record,Most recent CBC result,,,C,"Clinic notes from the referring office provide critical details about the patient’s chest pain history, guiding the cardiologist’s evaluation. Other documents are less directly relevant to recent-onset chest pain.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,"According to MyPlate, which of the following foods should be eaten sparingly?",Carrots,Grapes,Peanuts,White rice,Whole wheat bread,,,D,"MyPlate recommends limiting refined grains like white rice, which lack nutrients compared to whole grains. Carrots, grapes, peanuts, and whole wheat bread are encouraged in moderation as part of a balanced diet.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following defense mechanisms is the patient most likely displaying?,Compensation,Denial,Displacement,Regression,Repression,,,D,"Regression involves reverting to an earlier developmental stage, like bedwetting, under stress. Compensation offsets weaknesses, denial ignores reality, displacement redirects emotions, and repression suppresses memories.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following defines the suffix '-iasis'?,Abnormal condition,Artificial opening,Involuntary contraction,Painful swallowing,Surgical puncture,,,A,"The suffix '-iasis' indicates an abnormal condition (e.g., psoriasis). Artificial opening is '-ostomy,' involuntary contraction is unrelated, painful swallowing is dysphagia, and surgical puncture is '-centesis.'",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following terms means 'farsightedness'?,Astigmatism,Blepharoptosis,Hyperopia,Myopia,Senopia,,,C,"Hyperopia is farsightedness, difficulty seeing near objects. Astigmatism is distorted vision, blepharoptosis is eyelid drooping, myopia is nearsightedness, and senopia is not a standard term.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following descriptions should be used to code the diagnosis?,Acute myocardial infarction,Acute and chronic coronary artery disease,Chest pain,Probable myocardial infarction,Rule out acute myocardial infarction,,,C,"Rule out' diagnoses are coded based on symptoms, so chest pain is used for coding. Definitive diagnoses like myocardial infarction or coronary artery disease require confirmation, and 'rule out' is not coded.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,EXCESS carbohydrates are stored in the liver and muscles in the form of which of the following substances?,Glucagon,Glucose,Glucoside,Glycogen,Glycoside,,,D,"Excess carbohydrates are stored as glycogen in the liver and muscles. Glucagon is a hormone, glucose is blood sugar, and glucoside and glycoside are unrelated chemical compounds.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following conditions is characterized by increased intraocular pressure and optic nerve damage?,Cataracts,Glaucoma,Keratitis,Macular degeneration,Retinal detachment,,,B,"Glaucoma involves increased intraocular pressure and optic nerve damage, risking vision loss. Cataracts cloud the lens, keratitis inflames the cornea, macular degeneration affects central vision, and retinal detachment separates the retina.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,"Following the procedure, the ECG lead wires will need to be cleaned to prevent which of the following types of transmission?",Fomite,Vector-borne,Airborne,Bloodborne,Droplet,,,A,"Cleaning ECG lead wires prevents fomite transmission, where pathogens spread via contaminated surfaces. Vector-borne involves organisms, airborne spreads through air, bloodborne through blood, and droplet through respiratory secretions.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,A physician who allows a third party to observe a surgical procedure without the consent of the patient is guilty of which of the following?,Defamation of character,Duress,Invasion of privacy,Malicious betrayal of professional secrets,Negligence,,,C,"Allowing unauthorized observation violates patient privacy, constituting invasion of privacy. Defamation involves false statements, duress is coercion, betrayal of secrets is unrelated, and negligence involves care failure.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,The suffix 'ectasis' refers to which of the following?,Bleeding,Dilation,Pain,Stones,Surface,,,B,"The suffix 'ectasis' means dilation or expansion (e.g., bronchiectasis). Bleeding, pain, stones, and surface have different suffixes.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,The contraction of smooth muscles of the walls of the esophagus that allows movement of food toward the stomach is known as which of the following?,Deglutition,Dysphagia,Eructation,Mastication,Peristalsis,,,E,"Peristalsis is the wave-like muscle contractions moving food through the esophagus. Deglutition is swallowing, dysphagia is difficulty swallowing, eructation is burping, and mastication is chewing.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,Which of the following is the most appropriate response by the medical assistant in this situation?,Advise the couple to return when they have reached an agreement,Encourage the husband to have the vasectomy,Persuade the husband to consider a less permanent method of birth control,Strive to keep personal beliefs from interfering,Tell the couple that they have plenty of time to decide what to do,,,D,"The medical assistant should remain neutral, keeping personal beliefs from interfering, to facilitate open discussion. Advising delay, encouraging procedures, or suggesting alternatives risks bias, and time comments are dismissive.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,Production of progesterone by the corpus luteum occurs in which of the following organ systems?,Integumentary,Lymphatic,Nervous,Reproductive,Urinary,,,D,"The corpus luteum, in the ovaries, produces progesterone in the reproductive system. Other systems (integumentary, lymphatic, nervous, urinary) are not involved in progesterone production.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,Which of the following conditions is most likely to be diagnosed by a hematologist?,Basal cell carcinoma,Cholelithiasis,Intraductal carcinoma in situ,Multiple myalgia,Polycythemia,,,E,"Polycythemia, a blood disorder with excess red blood cells, is diagnosed by a hematologist. Basal cell carcinoma (skin), cholelithiasis (gallstones), intraductal carcinoma (breast), and myalgia (muscle pain) are managed by other specialists.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,"When receiving incoming telephone calls, which of the following is a technique used to direct callers to the most appropriate person?",Identifying,Organizing,Referring,Screening,,,,D,"Screening involves assessing the caller’s needs to direct them to the appropriate person. Identifying confirms identity, organizing manages tasks, and referring transfers to specialists but isn’t the primary technique.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,"In the chain of infection, Chlamydia trachomatis represents which of the following links?",Means of transmission,Pathogen,Portal of entry,Reservoir,Susceptible host,,,B,"Chlamydia trachomatis is the pathogen causing infection. Transmission is the method (e.g., contact), portal of entry is the site (e.g., mucous membranes), reservoir is the source, and susceptible host is the infected individual.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,Which of the following is the earliest age at which a child can accurately be measured while standing?,12 Months,18 Months,24 Months,36 Months,60 Months,,,C,"By 24 months, most children can stand steadily for accurate height measurement. Younger ages (12 or 18 months) often require recumbent measurement, and 36 or 60 months are later.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,Which of the following terms means 'to suture a wound of the bronchus'?,Broncholith,Bronchorrhagia,Bronchorrhaphy,Bronchoscopy,Bronchostomy,,,C,"Bronchorrhaphy means suturing a bronchial wound. Broncholith is a bronchial stone, bronchorrhagia is bleeding, bronchoscopy is examination, and bronchostomy is creating an opening.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,Proper loading of an autoclave ensures which of the following?,Contamination does not spread between packages,Glass containers do not break,Instruments do not pierce or tear packages,Packages do not shift during sterilization,Steam circulates through and between packages,,,E,"Proper autoclave loading ensures steam circulates effectively for sterilization. Other options are secondary concerns, as steam circulation is critical for efficacy.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,"According to the ethical standards governing physicians and medical assistants, which of the following is the primary objective of the practice of medicine?",Community service,Loyalty to the profession,Medical education,Profitable business,Welfare of the patient,,,E,"The primary objective of medicine is patient welfare, prioritizing care and outcomes. Community service, professional loyalty, education, and profit are secondary.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,"When a patient's account is sent to a collection agency, which of the following is the most appropriate action by the billing office staff?",Call the patient monthly,File a creditor's lien,Send collection letters to the patient,Send monthly statements to the patient,Stop sending monthly statements to the patient,,,E,"Once sent to a collection agency, the billing office stops sending statements, as the agency handles collections. Continued statements or calls are redundant, and liens or letters are not standard practice.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,Which of the following is the most appropriate first step for the medical assistant?,Bill the patient for the office visit,Confirm the patient's payment of the deductible,File a claim with the patient's private insurance,Notify the patient's insurance carrier,Verify the patient's employment,,,E,"Verifying employment confirms eligibility for workers’ compensation for a work-related injury. Billing, confirming deductibles, or filing with private insurance is premature, and notifying the carrier comes after verification.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,Which of the following regulates the type and complexity of laboratory tests performed on human specimens?,Centers for Disease Control and Prevention (CDC),Clinical Laboratory Improvement Amendments of 1988 (CLIA '88),Environmental Protection Agency (EPA),National Institutes of Health (NIH),Occupational Safety and Health Administration (OSHA),,,B,"CLIA '88 regulates laboratory testing complexity and quality for human specimens. CDC monitors diseases, EPA regulates environmental safety, NIH funds research, and OSHA ensures workplace safety.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,"When performing urinalysis, which of the following tests indicates the relative acidity or alkalinity of the specimen?",Ketones,Nitrites,pH,Specific gravity,Urobilinogen,,,C,"pH measures urine acidity or alkalinity. Ketones indicate fat metabolism, nitrites suggest infection, specific gravity measures concentration, and urobilinogen assesses liver function.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,"In the statement shown below, the patient is using which of the following defense mechanisms?",Compensation,Displacement,Projection,Regression,Repression,,,A,"The patient uses compensation, justifying weight gain with exercise. Displacement redirects emotions, projection attributes faults to others, regression reverts to earlier behaviors, and repression suppresses memories.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,Which of the following abbreviations contains the vaccine for whooping cough?,DTaP,Hlb,IPV,MMR,Td,,,A,"DTaP includes the pertussis (whooping cough) vaccine. Hlb is not standard, IPV is polio, MMR is measles, mumps, rubella, and Td is tetanus-diphtheria.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,Which of the following is designed to insure a low-income person and family?,CHAMPVA,Medicaid,Medicare,Social security,Tricare,,,B,"Medicaid insures low-income individuals and families. CHAMPVA covers veterans’ dependents, Medicare is for those over 65 or disabled, Social Security provides income, and Tricare covers military personnel.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,Which of the following pieces of personal protective equipment protects the conjunctiva from risk for contamination?,Cap,Face mask,Gloves,Goggles,Gown,,,D,"Goggles protect the conjunctiva from contamination. Caps cover hair, face masks protect the mouth and nose, gloves protect hands, and gowns protect the body.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,Which of the following terms refers to the region of the abdomen above the stomach?,Epigastric,Hypochondriac,Hypogastric,Inguinal,Umbilical,,,A,"The epigastric region is above the stomach. Hypochondriac is lateral to the epigastric, hypogastric is below the stomach, inguinal is near the groin, and umbilical is around the navel.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,Which of the following patients would be able to provide their own informed consent for care?,A patient under the influence of drugs,A patient who is in foster care,A patient who is unconscious,A patient who is an emancipated minor,A patient who has a mental disability,,,D,"An emancipated minor can legally provide informed consent. Patients under drug influence, in foster care, unconscious, or with mental disabilities typically cannot consent independently.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,Bipolar disorder is most characteristic of which of the following psychological conditions?,Anxiety disorder,Impulse-control disorder,Mood disorder,Psychotic disorder,Somatoform disorder,,,C,"Bipolar disorder is a mood disorder, characterized by extreme mood swings. Anxiety disorders involve fear, impulse-control disorders involve behavior control, psychotic disorders involve reality loss, and somatoform disorders involve physical symptoms from psychological causes.",regular,,,
Medical Assistant,American Association of Medical Assistants Certification Exam CMA,,Which of the following signs or symptoms is most characteristic of a cerebrovascular accident?,Anxiety,Pain radiating to the left shoulder,Sudden loss of vision,Thirst,Tightness of the chest,,,C,Sudden loss of vision is a hallmark of a cerebrovascular accident (stroke) due to disrupted brain blood flow. Other symptoms are less specific or related to other conditions like heart attack.,regular,,,
