school,exam,extract,question,choiceA,choiceB,choiceC,choiceD,choiceE,choiceF,choiceG,correct_answer,rationale,question_type,image,url,wrong_answer
Nurse Aide,Certified Nurse Aide Practice Test,,The role of the nurse aide in restorative care is to:,combine short steps into a long list to keep a client motivated,recognize that setbacks occur and encourage a client to keep trying,let a client know when progress is not happening as quickly as planned,complete a task for a client if the client is taking too long to complete it,,,,B,"Restorative care focuses on helping clients regain or maintain their highest level of function and independence. Encouraging clients through setbacks supports motivation, builds confidence, and promotes long-term progress. Combining steps may overwhelm the client, notifying them of slow progress can be discouraging, and completing tasks for them undermines autonomy and hinders rehabilitation.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,A low-fat diet is ordered for a client. Which of the following foods is restricted?,Fish,Butter,Bread,Sugar,,,,B,"Butter, a high-fat dairy product with saturated fat, is typically restricted on a low-fat diet. Fish, particularly fatty fish like salmon, may contain healthy fats and is often allowed in moderation. Bread is generally low in fat unless prepared with added fats. Sugar is a carbohydrate, not a fat, and is not inherently restricted on a low-fat diet, though it may be limited for other reasons like diabetes.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,A client refuses to take a bath. What is the nurse aide's BEST response?,"""You don't have to take your bath now. When would you like to take it?""","""A bath is good for you, and I know best.""","""You have to take your bath, and there is no way out of it.""","""Everybody else takes a bath. Why shouldn't you?""",,,,A,"Offering choice and flexibility respects the client’s autonomy and promotes cooperation, reducing resistance by allowing the client to feel in control. Saying ""I know best"" dismisses their feelings, forcing compliance with ""no way out"" is coercive, and comparing them to others is invalidating and may provoke defensiveness.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,The unlawful restriction of a client's freedom of movement is called:,defamation,false imprisonment,negligence,invasion of privacy,,,,B,"False imprisonment is the intentional and unlawful confinement or restraint of a person against their will, directly applying to restricting a client’s movement without justification. Defamation involves harming reputation through false statements, negligence is failure to provide reasonable care, and invasion of privacy relates to unauthorized intrusion, not physical restraint.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,"To promote a client's rest, the nurse aide SHOULD:",keep the lights on,ask the client questions,decrease the noise level,position the client upright,,,,C,"Reducing environmental noise creates a calm atmosphere conducive to rest and sleep. Keeping lights on disrupts circadian rhythms, asking questions engages the client mentally, and positioning upright may be needed for specific conditions but is not universally rest-promoting. Noise reduction is the most effective intervention.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,"When providing care for a client after the client is pronounced dead, the nurse aide SHOULD:",complete the care when family arrives,position the client side-lying,follow religious practices the client wanted observed,remove any tubes from the client,,,,C,"Honoring the client’s spiritual and religious preferences after death is fundamental to respectful, person-centered end-of-life care, reflecting their wishes in rituals or handling. Delaying care until family arrives may not be feasible, side-lying is not standard unless specified, and removing tubes requires authorization and is secondary to respecting religious practices.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,Two nurse aides enter the room of a dying client to provide care. The nurse aides SHOULD:,whisper so that they do not disturb the client,discuss the client's condition,remain silent out of respect for the client,explain to the client what the nurse aides are going to do,,,,D,"Explaining actions to a dying client, who may still be aware, promotes dignity, reduces anxiety, and honors person-centered care. Whispering may create secrecy, discussing the condition violates privacy, and silence may leave the client feeling ignored. Gentle communication is key.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,Incontinence may be defined as:,loss of bladder control,redness of the skin,shortness of breath,painful leg cramps,,,,A,"Incontinence refers to the involuntary loss of bladder or bowel control, most commonly urinary incontinence. Redness of the skin may result from moisture exposure but is not the definition. Shortness of breath and leg cramps are unrelated to elimination control.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,Client rights are based on:,nursing home policies,doctor's orders,constitutional law,Medicald regulations,,,,C,"Client rights are grounded in constitutional law, guaranteeing privacy, dignity, and freedom from abuse. Nursing home policies and Medicaid regulations derive from this framework, and doctor’s orders guide care but do not establish rights. Constitutional principles ensure universal rights.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,"After anti-embolism stockings are applied, the stockings SHOULD:",be left on for 24 hours,fit loosely for comfort,be free of creases,fit snugly over the arm,,,,C,"Anti-embolism stockings must be free of creases to ensure even compression, promoting venous return and preventing skin breakdown or thrombus formation. They are not worn for 24 hours continuously without skin checks, must fit snugly, and are for legs, not arms.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,The nurse aide may refuse to complete a task when:,it is time for the next shift,the nurse aide does not like the task,the nurse aide is unfamiliar with the equipment,a charge nurse is available to supervise the task,,,,C,"Refusing a task due to unfamiliarity with equipment protects client safety, as proceeding without training could cause harm. Refusing due to shift change or dislike is unprofessional, and a charge nurse’s presence supports task completion, not refusal.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,The nurse aide begins cardiopulmonary resuscitation (CPR) after witnessing a client collapse in the hallway. What is the BEST way to ensure an open airway during CPR?,Position hands for an abdominal thrust,Head tilt-chin lift,Place hand on sternum and push,Give 1 breath,,,,B,"The head tilt-chin lift maneuver opens the airway by lifting the tongue from the throat, essential for effective CPR in an unresponsive adult without spinal injury. Abdominal thrusts are for choking, sternum pushing is for compressions, and giving a breath without an open airway may be ineffective.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,Which of the following actions can the nurse aide take to relieve a client's pain?,Position the client in good body alignment,Offer the client pain medication,Take the client for a long walk,"Turn on the room lights, and open the curtains",,,,A,"Proper body alignment reduces strain on muscles and joints, alleviating discomfort within the nurse aide’s scope. Offering medication is outside their scope, long walks may worsen pain, and bright lights may increase discomfort. Positioning is a safe, effective intervention.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,The nurse aide is assigned to provide hair care to a client. Which of the following statements is TRUE regarding client hair care?,Female clients with hair loss should wear a head covering,Physical health can affect the condition of the hair,Hair washing is unable to be done by nurse aides,Appearance of hair does not affect emotional well-being,,,,B,"Physical health influences hair condition through factors like malnutrition or illness. Nurse aides can wash hair, head coverings are not mandatory, and hair appearance impacts self-esteem. The link between health and hair is universally true.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,A client's dignity and respect are maintained by referring to the client by:,room number,the name the client prefers,using terms of endearment,last name only,,,,B,"Using the client’s preferred name honors their identity and autonomy. Room numbers depersonalize, terms of endearment can be patronizing, and last names may feel impersonal unless requested. Following the client’s preference upholds dignity.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,Which of the following could be a symptom of a urinary tract infection?,Frequent loose stools,Muscle cramps in the legs,Frequent voiding,Chest pain,,,,C,"Frequent voiding, often with urgency or burning, is a classic UTI symptom due to bladder irritation. Loose stools, leg cramps, and chest pain are unrelated to urinary tract issues. Frequent voiding directly correlates with UTI presentation.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,The nurse aide maintains a professional relationship with a client by:,discussing the client's condition with the client's family,giving the client advice regarding medical care,reporting information about the client's condition to the nurse,sharing personal information with the client,,,,C,"Reporting client condition changes to the nurse ensures continuity of care while maintaining boundaries. Discussing with family violates confidentiality, giving medical advice exceeds scope, and sharing personal information risks inappropriate bonds.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,The nurse aide is caring for a client with oxygen. Guidelines for safe oxygen therapy include:,maintaining a low water level in the humidity bottle,adjusting the flow rate of the oxygen,removing the client's face mask or nasal cannula when providing care,"observing the client's ears, cheeks, and nose for signs of skin irritation",,,,D,"Inspecting skin for irritation from oxygen devices prevents pressure injuries. Low water levels reduce humidification, adjusting flow rates is outside scope, and removing devices interrupts therapy. Skin assessment is a key safety measure.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,"When caring for a client with a leg brace, the nurse aide SHOULD:",report to the nurse when the brace fits securely,leave the brace off during recreational time,apply the brace to the unaffected extremity if asked,keep the skin and bony areas clean and dry,,,,D,"Keeping skin clean and dry under a brace prevents breakdown and infection. Reporting a secure fit is unnecessary unless there’s an issue, removing the brace may be unsafe, and applying it to the wrong extremity is harmful. Skin care is essential.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,"When giving mouth care to an unconscious client, the nurse aide SHOULD:",avoid cleaning the client's teeth,turn the client's head to the side,give the client sips of mouthwash,leave the privacy curtain open,,,,B,"Turning the head to the side allows secretions to drain, reducing aspiration risk. Avoiding teeth cleaning increases infection risk, giving mouthwash is dangerous for unconscious clients, and open curtains violate dignity. Proper positioning ensures safety.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,Which of the following items SHOULD be kept in the clean utility room?,New specimen containers and personal care supplies,Soiled linen and soiled linen containers,Used bedpans and bedpan brushes,Medications and medical records,,,,A,"Clean utility rooms store unused supplies like specimen containers to prevent contamination. Soiled linen, used bedpans, and medications belong in designated areas to maintain infection control and security.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,The nurse asks the nurse aide to perform a task that the nurse aide has not been trained to do. The nurse aide's BEST response is to:,perform the task as requested,ask another nurse aide to perform the task,discuss concerns with the nurse,ask a coworker for suggestions on how to handle it,,,,C,"Discussing concerns with the nurse ensures safety and may lead to training or reassignment. Performing an untrained task risks harm, delegating to another aide doesn’t resolve the issue, and coworker advice is not a substitute for professional clarification.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,"""Scope of practice"" refers to:",the act of delegating nursing tasks of routine care,one's own independent caregiver business,the range of tasks the nurse aide is legally permitted to do,the tasks assigned to the nurse aide in a facility,,,,C,"Scope of practice defines legally authorized tasks based on training and regulations, ensuring safety. It is not defined by delegation, private business, or facility assignments, but by legal and professional standards.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,Pressure sores may be prevented by:,moving a client as little as possible,giving special care to reddened areas,smoothing the bed linens only when necessary,keeping the reddened areas moistened,,,,B,"Special care to reddened areas, like relieving pressure and keeping skin dry, prevents pressure sores. Minimal movement increases risk, wrinkled linens cause friction, and moisture softens skin, increasing vulnerability.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,An example of inappropriate communication with a 75-year-old client would include:,being aware of generational differences,addressing the client by name,speaking as if the confused client is a child,being aware of sensory impairments,,,,C,"Speaking to an older adult as a child is condescending and undermines dignity, known as elderspeak. Awareness of generational differences and sensory impairments aids communication, and addressing by name is respectful.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,"When giving a complete bed bath to a client, the nurse aide SHOULD:",keep the client covered as much as possible,avoid washing the client's perineal area to prevent embarrassment,position self on the dominant side of the bed and stay there,use the same water throughout the bath to shorten the length of the task,,,,A,"Keeping the client covered preserves dignity and warmth. Perineal washing is essential for hygiene, moving around the bed ensures thorough care, and changing water prevents bacterial spread.",Regular,,,
