school,exam,extract,question,choiceA,choiceB,choiceC,choiceD,choiceE,choiceF,choiceG,correct_answer,rationale,question_type,,image,url,wrong_answer
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,A 65-year-old immunocompetent male with no underlying medical conditions presents in mid-October and requests the 'flu and pneumonia shots.' Record shows he received the influenza and PCV13 in January of the current year. The nurse practitioner recommends that he:,"receive the PCV13 and influenza vaccine today, and return in January for the PPSV23.",return in January to receive both the influenza and the PPSV23.,receive the influenza vaccine at this time and return in January for the PPSV23.,"receive the PPSV23 and the influenza vaccine today, then yearly.",,,,C,PCV13 is not routinely recommended for immunocompetent adults >65 if already given. PPSV23 is given after PCV13 with minimum interval of 1 year. Influenza vaccine is annual.,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,A 4-year-old female experienced a febrile seizure about 1 hour ago. The nurse practitioner informs the child's guardian that:,ibuprofen (Advil) and acetaminophen (Tylenol) should be administered every 2 hours for fever management.,the etiology of the fever must be determined.,anticonvulsant therapy will be initiated.,[missing text],,,,B,Febrile seizures are benign in otherwise healthy children. The priority is identifying and treating the underlying cause of fever. Anticonvulsants are not indicated for simple febrile seizures.,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,A nurse practitioner is counseling a patient on family planning. Which of the following women is LEAST likely to be at risk for inadequate micronutrient (e.g. vitamins and minerals) intake?,A 30-year-old female with lactase deficiency,A 35-year-old female with a history of bariatric surgery,A 27-year-old female who consumes a vegan diet,A 24-year-old female with type 1 diabetes,,,,D,"Type 1 diabetes does not inherently increase risk of micronutrient deficiency if well-managed with balanced diet. Lactase deficiency (calcium/Vit D), bariatric surgery (multiple deficiencies), vegan diet (B12, iron, calcium) all increase deficiency risk.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,A 13-year-old patient was recently diagnosed with mild persistent asthma. The most effective drug combination to keep this child symptom-free is:,daily use of a short-acting bronchodilator.,an inhaled corticosteroid and cromolyn (Intal).,theophylline and a short-acting bronchodilator.,a short-acting bronchodilator prn and a daily inhaled corticosteroid.,,,,D,Mild persistent asthma: daily low-dose ICS (controller) + SABA as needed for symptoms. ICS is the most effective anti-inflammatory. Cromolyn is alternative but less effective.,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,Which of the following would NOT be included in the differential diagnosis list for a presentation of hyperthyroidism?,Withdrawal syndrome,Addison's disease,Thyrotoxicosis,Anticholinergic toxicity,,,,B,"Addison's disease (adrenal insufficiency) presents with fatigue, hypotension, hyperpigmentation - opposite of hyperthyroidism. Withdrawal syndrome can cause tachycardia/tremor; anticholinergic toxicity causes tachycardia/dry skin.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,"When considering medications for a 42-year-old female, the choice that would NOT increase her risk for osteoporosis is:",omeprazole (Prilosec).,carbamazepine (Tegretol).,fluticasone (Flovent).,escitalopram (Lexapro).,,,,D,"Escitalopram (SSRI) has minimal effect on bone density. PPIs (calcium absorption), antiepileptics (vitamin D metabolism), and glucocorticoids (bone resorption) increase osteoporosis risk.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,An 8-year-old male is on a catch-up schedule for immunizations. He returns today for his third hepatitis B injection. It has been 12 months since his second injection. The nurse practitioner should:,start the series over again.,give the third dose today.,check the patient's hepatitis B surface antigen before administering.,give one injection today and another as a booster.,,,,B,"If more than 5 months have elapsed between dose 2 and 3, give dose 3 as scheduled. No need to restart series. Serologic testing is not indicated for routine catch-up.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,A 63-year-old male patient presents for follow-up after a cerebrovascular accident. A neurologic examination identifies abnormalities in cranial nerves IX and X. This is likely to cause:,constipation.,increased salivation.,dysphagia.,esophageal stricture.,,,,C,"CN IX (glossopharyngeal) and X (vagus) control swallowing and pharyngeal sensation. Damage causes dysphagia, risk of aspiration. Not constipation, salivation changes, or stricture.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,A 35-year-old female is concerned about her risk of developing breast cancer. The factor that is considered protective against breast cancer is:,taking oral contraceptives.,breastfeeding.,conducting self-breast exams.,short stature.,,,,B,Breastfeeding is protective against breast cancer (relative risk reduction ~4% per 12 months). Oral contraceptives slightly increase risk. Self-exams don't affect risk; stature not clearly associated.,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,"The CAGE, MAST, and AUDIT questionnaires to detect problem drinking should be used:",for screening and to determine the need for intervention.,in conjunction with the standard patient history.,as a diagnostic tool for the early detection of problem drinking.,to determine the severity and pattern of alcohol use.,,,,A,These validated tools are screening instruments to identify problem drinking and guide need for intervention. They are not diagnostic (C) nor detailed severity/pattern assessment (D).,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,"A 28-year-old female is considering pregnancy. She has been taking combined oral contraceptives for the last 5 years. The nurse practitioner advises her that after stopping the contraceptive, fertility should return:",immediately.,within 90 days.,within 4 months.,in at least 6 months.,,,,B,Fertility typically returns within 90 days after stopping OCPs. 80% of women conceive within 1 year. No long-term fertility impairment from OCP use.,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,Precautions should be taken if a 65-year-old patient who wishes to receive the inactivated influenza vaccine (IIV):,is receiving warfarin.,has symptoms of bronchitis with a fever.,has COPD.,has stage 3 chronic kidney disease.,,,,B,"Influenza vaccine should be deferred in patients with moderate-to-severe acute illness with or without fever. Warfarin, COPD, CKD are not contraindications; intramuscular injection caution with bleeding disorders may be considered.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,"The nurse practitioner examines a 6-year-old female who has had sore throat and fever for less than 24 hours. Based on the most common cause of pharyngitis in this age group, the most appropriate action is to:",prescribe amoxicillin in a weight-appropriate dose.,ask if any other family members have the same symptoms.,recommend supportive and symptomatic care.,prescribe a 5-day dose pack of azithromycin (Zithromax).,,,,C,Viral pharyngitis is most common in children; supportive care is appropriate. Antibiotics only if GAS confirmed by testing. Asking about family members is not the most appropriate action.,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,"A 7-year-old child has had a 'slapped cheek' rash for the last 24 hours. During the physical exam, the NP identifies a bright red lacy-appearing rash on the upper trunk, back, and buttocks. The patient is afebrile and states that the rash does not itch. The nurse practitioner should instruct the mother to:",keep the child home from school until the rash disappears.,send the child to school; they are no longer contagious.,make sure the child is not exposed to pregnant women for the next 2 weeks.,"allow the child to play outside, but avoid getting overheated.",,,,B,"Fifth disease (parvovirus B19) is contagious before rash appears. Once rash develops, child is no longer contagious. Pregnant women exposure is concern but child does not need to avoid them after rash.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,Which of the following is NOT an overarching goal of Healthy People 2030 as published by the U.S. Department of Health and Human Services?,"Attain healthy, thriving lives and well-being free of preventable disease, disability, injury, and premature death.","Eliminate health disparities, achieve health equity, and attain health literacy to improve the health and well-being of all.","Create social, physical, and economic environments that promote attaining the full potential for health and well-being for all.","Increase accessibility to physicians and other healthcare providers, especially in rural communities.",,,,D,"HP2030 goals focus on health equity, social determinants, and well-being. Specific provider accessibility is not an overarching goal; it's a strategy.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,A patient has a 24 pack year history of cigarette smoking and a chronic cough. The nurse practitioner suspects chronic obstructive pulmonary disease (COPD). The diagnostic criterion for COPD is an FEV1/FVC ratio of:,less than 70%.,less than 75%.,less than 80%.,less than 85%.,,,,A,GOLD criteria: post-bronchodilator FEV1/FVC < 0.70 (70%) confirms persistent airflow limitation. This is the diagnostic standard for COPD.,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,A 16-year-old female presents with complaints of headache. A fundoscopic examination is performed. The nurse practitioner knows that a normal optic disc appears:,pink and hyperemic.,yellowish orange to creamy pink.,[missing text],white.,,,,B,Normal optic disc is yellowish-orange to creamy pink. Hyperemic suggests inflammation; pallor/white suggests optic atrophy.,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,A 24-year-old patient is diagnosed with acute otitis media. The finding that strongly suggests rupture of the tympanic membrane as a result of infection is:,a yellow tympanic membrane.,an erythematous tympanic membrane with bulging.,discolored otic discharge in the external canal.,"a dull, opaque tympanic membrane.",,,,C,Purulent or bloody otorrhea in setting of AOM indicates TM rupture. Yellow/erythematous/bulging/dull suggest AOM without perforation.,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,Which one of the following symptoms is a common sign of a manic episode?,Incomplete tasks,Less than 4 hours of sleep nightly,Deflated self-esteem,Providing inappropriate answers,,,,B,Decreased need for sleep (often <4 hours) with high energy is characteristic of mania. Incomplete tasks may occur but not diagnostic; deflated self-esteem is depression; inappropriate answers occur in thought disorders.,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,"In an 11-year-old female, the earliest physical examination finding that is a secondary sexual characteristic is:",thelarche.,the development of pubic hair.,evidence of linear growth.,onset of menarche.,,,,A,"Thelarche (breast development) is typically the first sign of puberty in girls, occurring around age 8-13. Pubic hair may appear simultaneously or slightly later. Menarche occurs later (average 12-13 years).",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,"In considering treatment goals for a 20-year-old patient with asthma, which of the following is considered secondary prevention?",Prevention of acute recurrent exacerbations,Prevention of loss of lung function,Optimization of pharmacotherapy with minimal adverse effects,Maintenance of normal daily physical activity,,,,A,Secondary prevention aims to reduce impact of established disease. Preventing exacerbations is secondary prevention. Maintenance of daily activity and optimizing therapy are disease management goals.,regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,Symptoms of systemic lupus erythematosus (SLE) that more commonly occur in children than in adults include:,fever and lymphadenopathy.,pleuritis and hip pain.,dry eyes and dry mouth.,poor wound healing and neutropenia.,,,,A,"Children with SLE more frequently present with fever, lymphadenopathy, hepatosplenomegaly, and renal involvement. Dry eyes/mouth (Sjogren's) more common in adults.",regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,"A 55-year-old male is diagnosed with hypertension. His blood pressure readings have been gradually increasing over time, with a reading today of 152/98 mm Hg. Diagnostic studies are normal. The MOST likely diagnosis for this patient is:",resistant hypertension.,essential hypertension.,secondary hypertension.,isolated systolic hypertension.,,,,B,"Essential (primary) hypertension accounts for 90-95% of cases, with gradual onset, no identifiable cause. Resistant hypertension requires >3 medications; secondary has identifiable cause; isolated systolic has DBP <90.",regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,"After completion of a 7-day course of doxycycline (Vibramycin) for the treatment of chlamydia, an 18-year-old patient returns to the clinic for a follow-up exam. Symptoms appear to have resolved, and the nurse practitioner explains to the patient that test-of-cure:",is recommended 2 weeks after completion of therapy.,is required 6 weeks after completion of therapy.,should be performed 3 months after completion of therapy.,is not recommended unless symptoms recur.,,,,D,CDC recommends test-of-cure for chlamydia only in pregnancy or if adherence concerns. Routine test-of-cure not indicated for non-pregnant patients if symptoms resolved and treatment completed. Rescreening at 3 months for reinfection is recommended.,regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,Which of the following patients should be evaluated for testicular cancer?,13-year-old with gynecomastia,A 20-year-old college student with complaints of erectile dysfunction,An 18-year-old quarterback with painless swelling of the right testicle,A 40-year-old male with joint pain and cervical lymphadenopathy,,,,C,"Painless testicular mass or swelling is the classic presentation of testicular cancer, most common in 15-35 year olds. Gynecomastia, ED, joint pain/lymphadenopathy are not typical presentations.",regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,A 58-year-old male presents for a well exam. Examination reveals a full-thickness ulcer with surrounding callused skin on the plantar aspect of the first metatarsophalangeal joint of the right foot. He states that it is not painful. This condition is most likely:,a pressure ulcer.,a neuropathic ulcer.,a venous stasis ulcer.,a bunion.,,,,B,"Neuropathic (diabetic) ulcers occur on plantar surface, are painless due to neuropathy, have callused borders. Pressure ulcers over bony prominences. Venous stasis ulcers have irregular borders, on lower leg. Bunion is deformity, not ulcer.",regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,"Depressed mood and tooth erosion are present in a 22-year-old patient. Initially, the patient should be referred to a:",dietitian.,dentist.,cognitive behavioral therapist.,[missing text],,,,C,Depressed mood + tooth erosion suggests bulimia nervosa (self-induced vomiting). Cognitive behavioral therapy is first-line treatment. Dentist can identify erosion but CBT addresses underlying disorder.,regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,The most appropriate treatment for a child with mild croup is:,a bronchodilator.,an antibiotic.,a decongestant.,a cool mist vaporizer.,,,,D,"Mild croup is treated with supportive care: cool mist, hydration, reassurance. Corticosteroids (dexamethasone) may be used. Bronchodilators are for asthma; antibiotics for bacterial; decongestants not effective.",regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,A 55-year-old male has microscopic hematuria. He is otherwise asymptomatic. The initial test that is MOST sensitive for further evaluation of this patient is a(n):,cystoscopy.,intravenous pyelogram.,ultrasound of the bladder.,CT of the abdomen/pelvis.,,,,D,"CT urography (abdomen/pelvis with contrast) is the most sensitive imaging for evaluating asymptomatic microscopic hematuria, detecting stones, tumors, or other causes. Cystoscopy is invasive, IVP less sensitive.",regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,A screening ultrasound on a 65-year-old patient shows an abdominal aortic aneurysm that is 5.5 cm in diameter. The patient is asymptomatic. The clinician should:,repeat the ultrasound in 3 months.,refer to a cardiothoracic surgeon.,start an antihypertensive agent.,order a CT angiogram.,,,,B,"AAA ≥5.5 cm in men or ≥5.0 cm in women, or symptomatic, or rapidly expanding, requires surgical referral. Surveillance not appropriate at this size. CT angiogram may be ordered by surgeon.",regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,Which of the following is NOT a prerenal condition that may lead to subacute kidney injury?,Overdiuresis,Decreased oral intake,Malignant hypertension,Diarrhea,,,,C,"Malignant hypertension causes intrinsic renal injury (hypertensive nephrosclerosis), not prerenal. Prerenal causes include volume depletion (diarrhea, decreased intake, overdiuresis) or decreased perfusion.",regular,,,,
