school,exam,extract,question,choiceA,choiceB,choiceC,choiceD,choiceE,choiceF,choiceG,correct_answer,rationale,question_type,,image,url,wrong_answer
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Which of the following products is most likely to be rejected by a reverse distributor?,An unopened stock bottle in the original manufacturer packaging,A partial stock bottle of a medication that will expire within three months,A medication that was repackaged in unit doses for a nursing home,A medication that has already passed its printed expiration date,,,,C,"Reverse distributors primarily handle unopened, full-sized medication packages for manufacturer credit. Medications repackaged into unit doses for nursing homes are typically ineligible for credit and likely to be rejected. Unopened stock bottles, partial bottles, and expired medications are generally managed by reverse distributors for credit or disposal.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,A pharmacy must utilize a DEA Form 222 or CSOS to order stock bottles of:,Lomotil and Lyrica,testosterone cypionate and acetaminophen/codeine,diazepam and zolpidem tartrate,Adderall and Ritalin,,,,D,"DEA Form 222 or CSOS is required for ordering Schedule I and II controlled substances due to their high abuse potential. Adderall (amphetamine/dextroamphetamine) and Ritalin (methylphenidate) are Schedule II drugs, requiring this form. The other listed medications are Schedule III, IV, or V, which do not require DEA Form 222.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Wearing personal protective equipment (PPE) during nonsterile compounding is intended to help:,enhance productivity,ensure product integrity,eliminate chemical incompatibilities,promote a hazardous work environment,,,,B,"Wearing PPE, such as gloves, gowns, and masks, during nonsterile compounding primarily protects the product from contamination by the compounder, ensuring the integrity and quality of the medication. While PPE also protects the compounder, the primary focus in this context is product safety.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Which of the following should patients avoid while taking Flagyl?,Alcohol,Leafy greens,Orange juice,Thyme,,,,A,"Flagyl (metronidazole) can cause a severe disulfiram-like reaction when combined with alcohol, leading to symptoms like nausea, vomiting, flushing, headaches, and rapid heart rate. Patients must avoid alcohol during treatment and for a period afterward. Leafy greens, orange juice, and thyme do not have known adverse interactions with Flagyl.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,What is the final percentage strength of a drug if 500 mL of a 20% (v/v) solution is diluted to 1500 mL?,1.77%,3.23%,6.67%,8.95%,,,,C,"Using the dilution formula C1V1=C2V2, where C1 is 20%, V1 is 500 mL, and V2 is 1500 mL, the final concentration C2 is calculated as (20% Ã— 500 mL) / 1500 mL = 10000 / 1500 â‰ˆ 6.67%. This represents the final percentage strength after dilution.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,To which therapeutic class does prochlorperazine belong?,Antidiuretic,Antibiotic,Antiemetic,Bronchodilator,,,,C,"Prochlorperazine is an antiemetic drug used primarily to prevent and treat nausea and vomiting, and also as an antipsychotic. It works by blocking dopamine receptors in the brain's chemoreceptor trigger zone.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,"According to USP Chapter 795 guidelines, pharmacy staff should avoid:",rinsing clean compounding utensils with purified water,storing garb away from sinks and garbage cans,washing compounding equipment in a visibly soiled sink,"keeping the floor free from compounding components, equipment, and containers",,,,C,"USP Chapter 795 guidelines for nonsterile compounding emphasize avoiding actions that could contaminate the compounding environment. Washing equipment in a visibly soiled sink introduces contaminants, compromising sanitation. Rinsing with purified water, storing garb properly, and keeping the floor clear are standard cleanliness protocols.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,"According to the manufacturer, insulin degludec remains stable at room temperature for a maximum of how many days?",3,21,56,90,,,,C,"Per manufacturer guidelines, insulin degludec (Tresiba) remains stable at room temperature for up to 56 days (8 weeks) once opened or removed from refrigeration, a longer period than many other insulins, which typically last 28 days.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Which of the following medications warrants caution with respect to cross-sensitivity to penicillin?,Doxycycline,Cephalexin,Clindamycin,Metronidazole,,,,B,"Cephalexin and penicillin are both beta-lactam antibiotics with a similar chemical structure, which can lead to cross-allergic reactions in patients with penicillin allergies. Doxycycline, Clindamycin, and Metronidazole belong to different drug classes and do not pose a significant risk of cross-reactivity.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,All products in which of the following classes of medication are subject to a REMS program?,ACE inhibitors,Bisphosphonates,Proton pump inhibitors,Opioid analgesics,,,,D,"The FDA requires a class-wide Risk Evaluation and Mitigation Strategy (REMS) for all opioid analgesics to address risks like addiction, abuse, and misuse, applicable to both extended-release and immediate-release formulations. The other classes listed do not have a class-wide REMS requirement.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,The Food and Drug Administration (FDA) recommends limiting the use of simvastatin 80 mg because it is known to increase the risk of:,severe allergic reactions,visual disturbances,severe anemia,muscle damage,,,,D,"The FDA recommends limiting simvastatin 80 mg due to an increased risk of myopathy and rhabdomyolysis, severe forms of muscle damage. This dose should only be used in patients taking it for at least 12 months without muscle-related side effects.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Which of the following is an IV medication that has a narrow therapeutic index and requires periodic laboratory monitoring to prevent patient harm?,Varenicline,Venlafaxine,Valacyclovir,Vancomycin,,,,D,"Vancomycin, an IV antibiotic for severe bacterial infections, has a narrow therapeutic index, requiring careful monitoring of blood levels to prevent nephrotoxicity and ototoxicity. Dosing is adjusted to maintain safe and effective concentrations.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,The number 15 is represented by which of the following Roman numerals?,IV,XV,LV,CV,,,,B,"In the Roman numeral system, X represents 10 and V represents 5. When a smaller numeral follows a larger one, the values are added, so XV equals 15 (10 + 5). IV is 4, LV is 55, and CV is 105.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,An interaction with calcium may cause a decrease in the therapeutic effect of which of the following medications?,Azithromycin,Doxycycline,Doxylamine,Erythromycin,,,,B,"Doxycycline, a tetracycline antibiotic, can have its therapeutic effect reduced by calcium, which binds to it in the gastrointestinal tract, forming a poorly absorbed complex. Patients should take doxycycline at least 2 hours before or after calcium-containing products.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Which of the following tasks may be performed by a pharmacy technician?,Assisting in the creation of a policy and procedure manual,Suggesting a supportive OTC medication with an existing prescription,Recommending an alternative therapy based on laboratory results,Interpreting pharmacokinetic data for dosage adjustment,,,,A,"Pharmacy technicians handle technical and administrative tasks under pharmacist supervision, such as assisting with policy and procedure manuals. Recommending medications, interpreting lab results, or adjusting dosages require clinical expertise and are reserved for pharmacists.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Which type of error would occur if required laboratory work were not ordered for a patient on heparin?,Compliance,Monitoring,Omission,Dispensing,,,,B,"A monitoring error occurs when clinical or laboratory data, such as aPTT or anti-Xa levels for heparin, are not reviewed or ordered to ensure safe and effective therapy. Heparin requires regular monitoring to adjust dosing and prevent harm.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,"Upon review of a patient's drug profile, which combination may be considered duplication therapy?",Hydralazine and loratadine,Cetirizine and loratadine,Famotidine and cetirizine,Hydralazine and famotidine,,,,B,"Cetirizine and loratadine are both second-generation antihistamines with similar therapeutic effects for allergies, making their combined use duplication therapy.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,The most appropriate reference to consult for information regarding proper procedure for cleaning a medication or chemical spill is a:,Safety Data Sheet,Drug Utilization Review,Medication Guide,Risk Evaluation and Mitigation Strategy,,,,A,"A Safety Data Sheet (SDS) provides detailed information on a substanceâ€™s properties, health hazards, safe handling, and specific spill cleanup procedures, including necessary personal protective equipment. Other options serve different purposes related to medication use and safety.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,"After discovering an error that caused serious harm to a patient, the pharmacy staff's best course of action would be to perform a:",failure mode and effects analysis (FMEA),medication reconciliation,therapeutic substitution,root-cause analysis (RCA),,,,D,"A root-cause analysis (RCA) is the best action after a serious patient harm error, as it investigates underlying systemic factors to prevent future occurrences. FMEA is prospective, medication reconciliation prevents discrepancies, and therapeutic substitution is a dispensing practice.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,A prescription order is written for 40 mg of a drug. It is available in a 10 mL vial with a concentration of 25 mg/mL. How many mL are needed for the ordered dose?,0.625,1.6,6.25,16,,,,B,"To calculate the volume needed, use the formula: Volume (mL) = Ordered dose (mg) / Concentration (mg/mL). Thus, 40 mg / 25 mg/mL = 1.6 mL. The vialâ€™s total volume (10 mL) is irrelevant to the calculation.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,A tray used to count out anastrozole tablets should be cleaned after use due to handling precautions related to:,aseptic technique,antiretroviral agents,hazardous drugs,allergic reactions,,,,C,"Anastrozole, an antineoplastic agent for cancer therapy, is classified as a hazardous drug by NIOSH due to risks like reproductive and developmental toxicity. Cleaning the counting tray after use prevents occupational exposure.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Which of the following medications is indicated to treat depression?,Prednisone,Prilosec,Propranolol,Prozac,,,,D,"Prozac (fluoxetine), a selective serotonin reuptake inhibitor (SSRI), is widely used to treat depression. Prednisone is for inflammation, Prilosec for acid reflux, and Propranolol for cardiovascular conditions.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Barcode scanning for inventory quality assurance is most effective when:,scans may be bypassed to save time on the busiest days,scans are reserved for items with special storage requirements,scan matching is required for every item in stock,scan matching is required for the top 200 drugs only,,,,C,"Barcode scanning is most effective for inventory quality assurance when scan matching is required for every item in stock, ensuring accuracy and preventing errors. Bypassing scans or limiting to specific items risks discrepancies.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,The brand name for omeprazole is:,Nexium,Prilosec,Prevacid,Pepcid,,,,B,"Omeprazole is the generic name for Prilosec, a proton pump inhibitor used to treat heartburn and acid reflux. The other options are incorrect brand-name-to-generic pairings.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,"A pharmacy receives the following prescriptions: Donepezil 5 mg #28 1 tablet by mouth daily for 4 weeks, then increase to Donepezil 10 mg #30 1 tablet by mouth daily thereafter 5 refills","The prescriptions are both dispensed, and the patient is hospitalized after several weeks. The patient reports that they have been taking both strengths of donepezil daily. Which of the following would be the best strategy to implement to prevent similar errors in the future?",Having a pharmacy technician counsel the patient regarding how to take their medications,Dispensing #58 donepezil 10 mg tablets and updating the instructions for the patient,Placing auxiliary labels on the vials to indicate that the 10 mg tablets should be taken first and the 5 mg second,Dispensing the donepezil 5 mg prescription first and the donepezil 10 mg prescription about four weeks later,,,,D,"To prevent patients from taking two strengths of donepezil simultaneously, dispensing the 5 mg prescription first and delaying the 10 mg prescription until the initial supply is used ensures only one strength is available at a time, eliminating the error seen in the scenario.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,"If escitalopram tablets from a particular manufacturer are unavailable through the wholesaler, a pharmacy technician may:",order an AB-rated alternative,make a therapeutic substitution,use the reverse distribution process,compound the medication,,,,A,"When a specific manufacturerâ€™s escitalopram is unavailable, a pharmacy technician can order an AB-rated, therapeutically equivalent generic that is bioequivalent to the original. Therapeutic substitution requires clinical judgment, reverse distribution is for returns, and compounding is not used for stock shortages.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,"Once reconstituted, ciprofloxacin oral suspension stored in a refrigerator remains stable for a maximum of how many days?",3,7,14,28,,,,C,"Per manufacturer guidelines, reconstituted ciprofloxacin oral suspension remains stable for up to 14 days, whether refrigerated or at room temperature, after which unused portions should be discarded.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Safety alerts for hearing aids are published by the:,Food and Drug Administration (FDA),Centers for Disease Control and Prevention (CDC),Drug Enforcement Administration (DEA),Department of Justice (DOJ),,,,A,"The FDA oversees the safety, efficacy, and security of medical devices like hearing aids, issuing safety alerts for them. The CDC focuses on public health, the DEA on drug enforcement, and the DOJ on law enforcement.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Which of the following might cause a Class III recall?,"A package label says 100 tablets, but the package contains only 50 tablets",A patient death has resulted from the use of the product,A high-dose time-release opioid analgesic patch is leaking medication,"A package label says 50 mg tablets, but the package contains 500 mg tablets",,,,A,"A Class III recall is issued for products unlikely to cause adverse health consequences, such as a package containing fewer tablets than labeled. Patient death or leaking opioid patches would trigger a Class I recall, and significant dosage errors would likely be a Class II recall.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,"A pharmacy technician receives a prescription that reads ""2 gtt OS b.i.d."" What does the abbreviation ""OS"" represent?",Left ear,Right ear,Left eye,Right eye,,,,C,"In medical prescriptions, 'OS' (oculus sinister) means 'left eye,' while 'OD' means 'right eye,' and 'OU' means 'both eyes.' Ear abbreviations are 'AS' for left ear and 'AD' for right ear.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,A pharmacy technician unpacking todayâ€™s wholesaler shipment notices that a box of Basaglar KwikPen arrived frozen. The best next step for the technician to take is to:,request to return the medication for credit,store the medication in the freezer,discard the medication with P-listed waste,send the medication to the FDA for inspection,,,,A,"Insulin like Basaglar KwikPen can be compromised by freezing, which may destroy its molecular structure and effectiveness. The technician should request to return the medication for credit per the pharmacyâ€™s return policy for damaged stock.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,"If a 10 mL vial of NPH U-100 insulin is dispensed to a patient who requires 17 units b.i.d., what would be the days supply reported on the prescription claim form?",6,15,29,59,,,,C,"A U-100 insulin vial has 100 units/mL, so a 10 mL vial contains 1000 units. The patient uses 34 units daily (17 units twice daily). Dividing 1000 units by 34 units/day gives approximately 29.41 days, reported as 29 days since only full days are counted.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Which of the following medications is typically used to treat rheumatoid arthritis and may be confused with sulfadiazine?,Sulfasalazine,Sulfacetamide,Sulfamethoxazole,Sucralfate,,,,A,Sulfasalazine treats rheumatoid arthritis and ulcerative colitis and is often confused with sulfadiazine due to its similar name and 'sulfa' prefix. The other medications are not used for rheumatoid arthritis or as frequently confused with sulfadiazine.,regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Which of the following is the best procedure for measuring liquid in a graduated cylinder?,Place the cylinder on a level surface and read the top of the meniscus at eye level,Hold the cylinder at eye level and read the bottom of the meniscus,Hold the cylinder at eye level and read the top of the meniscus,Place the cylinder on a level surface and read the bottom of the meniscus at eye level,,,,D,"To measure liquid accurately in a graduated cylinder, place it on a level surface, view at eye level to avoid parallax errors, and read the volume at the bottom of the meniscus. Reading the top or holding the cylinder by hand leads to inaccurate measurements.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Dutasteride is indicated to treat symptoms associated with:,generalized-onset seizures,Parkinsonâ€™s disease,benign prostatic hyperplasia,rheumatoid arthritis,,,,C,"Dutasteride, a 5-alpha reductase inhibitor, treats symptoms of benign prostatic hyperplasia (BPH) by blocking hormone production that causeså‰åˆ—è…º enlargement. The other conditions require different medication classes.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Which of the following is a primary environmental factor that may affect a medicationâ€™s stability?,pH level,Humidity exposure,Active ingredient quantity,Active ingredient salt form,,,,B,"Humidity exposure, an environmental factor, promotes chemical degradation like hydrolysis and physical changes in medications. pH, active ingredient quantity, and salt form are internal factors affecting intrinsic stability, not environmental conditions.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,"In the event of a public health emergency, it may become necessary to extend medication:",destruction dates,patent dates,marketing dates,expiration dates,,,,D,"During public health emergencies, the FDA may extend expiration dates via Emergency Use Authorizations if stability data support continued potency and safety, conserving critical stockpiles without altering patents or other dates.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Which of the following medications should be discontinued if the patient becomes pregnant?,Clindamycin,Benzoyl peroxide,Diphenhydramine,Atorvastatin,,,,D,"Atorvastatin, a statin, is contraindicated in pregnancy (Category X) due to fetal abnormalities, as it interferes with cholesterol synthesis vital for fetal development. The other medications are generally safer but should be discussed with a healthcare provider.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,A successful root-cause analysis (RCA) should:,focus primarily on systems and processes,assume adherence to policies and procedures,"neglect to identify deep-seated, latent failures",avoid including a sequence of events,,,,A,"A successful RCA focuses on systems and processes to identify underlying causes of errors, rather than blaming individuals. It aims to uncover systemic flaws in policies, procedures, or training to prevent future events. Assuming adherence, neglecting latent failures, or omitting event sequences undermines the analysis.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Two powders have been mixed together to prepare a nonsterile compound. A chemical reaction is likely to have occurred if the resulting mixture is:,homogeneous,liquid,stable,non-hazardous,,,,B,"A chemical reaction is indicated if mixing two solid powders results in a liquid, known as a eutectic reaction, where the mixtureâ€™s melting point is lower than the individual components. Homogeneous mixtures may result from physical blending, and stability or hazard level does not confirm a reaction.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Board Practice Exam,,A patient presents the following prescription: Prednisone 20 mg b.i.d. x 2 days 20 mg every day x 2 days 10 mg every day x 2 days 5 mg every day x 2 days How many 10 mg tablets should be dispensed to fill the prescription completely?,8,10,15,20,,,,C,"To calculate the total number of 10 mg prednisone tablets needed, determine the total milligrams required: (20 mg Ã— 2 doses Ã— 2 days) + (20 mg Ã— 1 dose Ã— 2 days) + (10 mg Ã— 1 dose Ã— 2 days) + (5 mg Ã— 1 dose Ã— 2 days) = 80 mg + 40 mg + 20 mg + 10 mg = 150 mg. Dividing by the tablet strength, 150 mg / 10 mg = 15 tablets.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Board Practice Exam,,"According to federal law, the transfer of an eligible Schedule III controlled substance prescription must be communicated directly between:",two licensed pharmacy technicians,a licensed pharmacy technician and a licensed pharmacist,a licensed pharmacist and a licensed nurse,two licensed pharmacists,,,,D,"Federal law (21 CFR Â§ 1306.25) mandates that the transfer of Schedule III, IV, or V controlled substance prescriptions for refills must occur directly between two licensed pharmacists to ensure accuracy and prevent diversion or misuse.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Board Practice Exam,,"If a medication presents a serious safety concern, the FDA may require the manufacturer to implement a:",MedWatch report,failure modes and effects analysis,root-cause analysis,REMS program,,,,D,"The FDA may require a Risk Evaluation and Mitigation Strategy (REMS) for medications with serious safety concerns to manage known or potential risks, ensuring benefits outweigh risks through measures like Medication Guides or Elements to Assure Safe Use (ETASU).",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Board Practice Exam,,Which of the following medications is contraindicated with nitroglycerin?,Amoxicillin,Sildenafil,Levothyroxine,Metformin,,,,B,"Sildenafil, a phosphodiesterase-5 inhibitor, is contraindicated with nitroglycerin, as both are vasodilators, and their combination can cause severe, life-threatening hypotension, potentially leading to fainting, heart attack, or stroke.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Board Practice Exam,,"Because it may negatively impact fetal development, pregnant pharmacy staff members should avoid contact with crushed or broken tablets of:",furosemide,finasteride,fluoxetine,famotidine,,,,B,"Finasteride, a teratogen used for benign prostatic hyperplasia and hair loss, can harm male fetal development, particularly genitalia formation, and can be absorbed through the skin, so pregnant staff should avoid contact with crushed or broken tablets.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Board Practice Exam,A patient presents the following prescription: Motrin 100 mg/5 mL Take 4 tsp PO t.i.d. p.r.n. Disp. 6 oz,"If ibuprofen 400 mg tablets are selected during order entry, which type of error has occurred?",Wrong drug,Compliance,Wrong dosage form,Improper dose,,,,C,"The prescription specifies Motrin (ibuprofen) 100 mg/5 mL liquid suspension, but selecting 400 mg tablets results in a wrong dosage form error, as the physical form (liquid vs. solid) differs, despite the same active ingredient.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Board Practice Exam,,How many days supply is in an Albuterol HFA inhaler (200 inhalations per canister) when the medication is to be inhaled 2 puffs every 4 hours?,10,16,30,90,,,,B,"The inhaler contains 200 puffs, and the patient uses 2 puffs every 4 hours. With 24 hours Ã· 4 hours = 6 intervals per day, the daily usage is 2 Ã— 6 = 12 puffs. Dividing 200 puffs by 12 puffs/day gives 16.67 days, rounded to 16 days for full days.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Board Practice Exam,,Intravenous and oral dosage forms are available for which of the following medications?,Oxycodone,Ketorolac,Pseudoephedrine,Fluoxetine,,,,B,"Ketorolac, an NSAID, is available in both intravenous (for acute pain in clinical settings) and oral forms (for continued pain management). Oxycodone, pseudoephedrine, and fluoxetine are typically only available orally.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Board Practice Exam,,All hazardous substances should be stored:,in a locked or secured cabinet,with appropriate warning labels attached,on the top shelf above all other medications,in the refrigerator,,,,A,"Hazardous substances must be stored in a locked or secured cabinet to restrict access and prevent accidental exposure or misuse. Warning labels inform but do not secure, top-shelf storage risks falls, and refrigerators are for temperature-sensitive drugs.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Board Practice Exam,,Hazardous waste containers must meet regulations enforced by the:,Environmental Protection Agency (EPA),Institute for Safe Medication Practices (ISMP),Drug Enforcement Administration (DEA),Food and Drug Administration (FDA),,,,A,"The EPA regulates hazardous waste containers under the Resource Conservation and Recovery Act, covering generation, storage, transport, treatment, and disposal. ISMP focuses on medication safety, DEA on controlled substances, and FDA on drug approval.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Board Practice Exam,,"Typically, the rate of oxidation can be slowed by:",alligation,distillation,refrigeration,expiration,,,,C,"Refrigeration slows oxidation by reducing molecular motion and reaction rates. Alligation is a mixing calculation, distillation separates components, and expiration indicates potency loss, not a method to slow chemical processes.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Board Practice Exam,,An incorrect generic substitution would occur if a pharmacy dispensed:,ramipril for Vasotec,pregabalin for Lyrica,allopurinol for Zyloprim,gemfibrozil for Lopid,,,,A,"Vasotec is enalapril, so dispensing ramipril is an incorrect substitution. Pregabalin is the correct generic for Lyrica, allopurinol for Zyloprim, and gemfibrozil for Lopid, making these proper substitutions.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Board Practice Exam,,"The iPLEDGE program is a set of steps that all patients, prescribers, and pharmacists must follow prior to dispensing:",dofetilide,clozapine,thalidomide,isotretinoin,,,,D,"The iPLEDGE REMS, mandated by the FDA, prevents fetal exposure to isotretinoin due to its high teratogenic risk, requiring registration and monthly compliance for all involved parties. Other listed drugs have separate risk-management programs.",regular,,,,
