school,exam,extract,question,choiceA,choiceB,choiceC,choiceD,choiceE,choiceF,choiceG,correct_answer,rationale,question_type,image,url,wrong_asnwer
Pharmacy Technician,ExCPT exam practice test,,A pharmacy technician should identify that which of the following refers to submitting a patient's claim to a third-party payer?,Adjudication,Prior authorization,Drug utilization review,Eligibility check,,,,A,"Adjudication is the process of submitting a claim to the insurance company for payment determination. It includes eligibility verification, coverage checks, and final payment or rejection.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which of the following references contains information regarding the physical compatibilities between parenteral medications?,Martindale: The Complete Drug Reference,Handbook of Injectable Drugs,American Drug Index (ADI),Goodman and Gilman's: The Pharmacological Basis of Therapeutics,,,,B,The Handbook of Injectable Drugs (Trissel's) is the gold-standard reference for IV compatibility and stability data for parenteral medications.,Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which of the following administration routes introduces a medication by injection through or into the skin?,Sublingual,Parenteral,Oral,Transdermal,,,,B,"Parenteral administration bypasses the gastrointestinal tract and includes intravenous, intramuscular, subcutaneous, and intradermal injections.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which of the following agencies requires tamper-proof prescriptions for any medication paid for by the federal government?,Centers for Medicare and Medicaid Services (CMS),Drug Enforcement Agency (DEA),Food and Drug Administration (FDA),Centers for Disease Control and Prevention (CDC),,,,A,"CMS requires tamper-resistant prescription pads for all Medicaid outpatient prescriptions (written, not electronic) to prevent fraud and forgery.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which of the following DEA numbers is valid?,AD4265175,AB5126543,BD4232423,BC1496523,,,,B,"A valid DEA number's second letter must match the first letter of the prescriber's last name, and the check digit (7th position) is calculated by adding the sum of digits 1,3,5 and twice the sum of digits 2,4,6, then taking the units digit. Only AB5126543 passes both tests.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which of the following is the out-of-pocket payment required before an insurance company pays for a patient's medications?,Capitation fee,Copayment,Coinsurance,Deductible,,,,D,The deductible is the amount the patient must pay out-of-pocket each year before the insurance plan begins covering medication costs. Copayments and coinsurance apply after the deductible is met.,Regular,,,
Pharmacy Technician,ExCPT exam practice test,,A pharmacy technician should identify that which of the following vitamins is water-soluble?,Vitamin A,Vitamin C,Vitamin D,Vitamin E,,,,B,"Vitamin C (ascorbic acid) and all B vitamins are water-soluble and excreted in urine when taken in excess. Vitamins A, D, E, and K are fat-soluble and stored in body tissues.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,A patient is requesting refills every month from the pharmacy before their insurance will cover the refill. A pharmacy technician should identify this as which of the following patient medication adherence issues?,Overutilization,Poor compliance,Change in dose,Vacation travel,,,,A,"Requesting refills too early (before insurance allows) indicates the patient is taking more medication than prescribed, which is classified as overutilization or potential misuse.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,"To prevent cross-contamination for nonhazardous medications, a pharmacy technician should clean the counting tray and spatula with which of the following products?",Hydrogen peroxide,Disinfectant spray,Isopropyl alcohol,Sterile water,,,,C,70% isopropyl alcohol is the standard cleaning agent for counting trays in community pharmacies because it effectively removes residue and evaporates quickly without leaving a film.,Regular,,,
Pharmacy Technician,ExCPT exam practice test,,The selling price of an over-the-counter medication is $40 and the cost of goods sold is $30. Which of the following is the percentage of the markup?,10%,25%,33%,41%,,,,C,"Markup percentage = (Selling price - Cost) / Cost x 100 = ($40 - $30) / $30 x 100 = $10 / $30 x 100 = 33.3%, rounded to 33%.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,All suspensions should contain which of the following auxiliary labels when dispensed to the patient?,Take with Food,Keep in Refrigerator and Do Not Freeze,For External Use Only,Shake Well,,,,D,"Suspensions contain undissolved particles that settle, so they must be shaken well before each use to ensure uniform dosing. 'Shake Well' is a required auxiliary label.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Prescriptions for NSAIDs require a pharmacy technician to provide the patient with which of the following?,Original manufacturer packaging,Prescription monograph,Medication Guide,Manufacturer product insert,,,,C,FDA mandates that all NSAIDs (oral and topical) be dispensed with a Medication Guide warning about cardiovascular and gastrointestinal risks.,Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which of the following medications requires a patient package insert?,Lisinopril (Zestril),Conjugated estrogens (Premarin),Lansoprazole (Prevacid),Paroxetine (Paxil),,,,B,Estrogen-containing products (including Premarin) require a Patient Package Insert (PPI) detailing risks such as endometrial cancer and thromboembolism.,Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Between which of the following temperature ranges should refrigerated medications be stored?,-20 to -10 C (-4 to 14 F),2 to 8 C (35.6 to 46.4 F),16 to 19 C (60.8 to 66.2 F),20 to 25 C (68 to 77 F),,,,B,USP standards define refrigerator temperature as 2 to 8 C (36 to 46 F). This range prevents freezing while maintaining stability of most refrigerated drugs.,Regular,,,
Pharmacy Technician,ExCPT exam practice test,,A pharmacy technician should identify that which of the following is an over-the-counter medication?,Guaifenesin with dextromethorphan (Mucinex DM),Guaifenesin with codeine (Robitussin AC),Benzonatate (Tessalon Perles),Promethazine (Phenergan),,,,A,"Mucinex DM contains only guaifenesin and dextromethorphan, both OTC. Products containing codeine or promethazine are prescription-only or behind-the-counter.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,The use of an automated dispensing system provides which of the following benefits to a pharmacy?,Reduces the need for medication orders,Eliminates the need for pharmacist verification,Provides more security than floor stock,Increases the need for physical inventory,,,,C,"Automated dispensing cabinets (ADCs) improve security by requiring user authentication and tracking removals, reducing diversion risk compared to open floor stock.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which of the following can cause constipation?,Amoxicillin (Moxatag),Linaclotide (Linzess),Furosemide (Lasix),Oxycodone (OxyContin),,,,D,Opioids such as oxycodone slow gastrointestinal motility and are a common cause of constipation. The other listed medications do not typically cause this side effect.,Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which of the following solutions should a pharmacy technician use to clean a counting tray?,Isopropyl alcohol,Povidone iodine,0.9% sodium chloride,Chlorhexidine gluconate,,,,A,"70% isopropyl alcohol is the preferred agent for cleaning counting trays because it evaporates quickly, leaves no residue, and effectively removes drug particles.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,A patient has a temperature of 39 C. A pharmacy technician should identify that which of the following is the patient's temperature in degrees Fahrenheit?,70.2 F,98.6 F,101.3 F,102.2 F,,,,D,Conversion formula: °F = (C × 9/5) + 32 ? (39 × 1.8) + 32 = 70.2 + 32 = 102.2°F,Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which of the following is the generic name for Prilosec?,Esomeprazole,Loratadine,Omeprazole,Levofloxacin,,,,C,"Prilosec is the brand name for omeprazole, a proton pump inhibitor used to reduce stomach acid.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,"The reorder point for amoxicillin (Amoxil) 250 mg is 4 and the maximum is 7. If there are 4 bottles in stock, which of the following amounts should be ordered?",0,2,3,6,,,,C,"When stock reaches the reorder point (4 bottles), enough should be ordered to reach the maximum (7). Therefore, 7 - 4 = 3 bottles need to be ordered.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,A pharmacy technician should recognize that it is acceptable for a hospital to reuse repackaged medication in which of the following circumstances?,The medication is on the hospital formulary.,The medication was never opened.,The nurse requests the medication.,The patient has an order for the medication.,,,,B,"Unopened, unit-dose repackaged medications that have not expired and were dispensed for a discharged or transferred patient may be returned to stock and reused.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which of the following conditions is characterized by persistent intrusive thoughts and performing repetitive acts?,Bipolar disorder,Attention-deficit/hyperactivity disorder,Obsessive compulsive disorder,Schizophrenia,,,,C,Obsessive-compulsive disorder (OCD) is defined by obsessions (intrusive thoughts) and compulsions (repetitive behaviors performed to reduce anxiety).,Regular,,,
Pharmacy Technician,ExCPT exam practice test,,A pharmacist should intervene if a pharmacy technician takes which of the following actions?,Receives a refill request at the drop window,Receives a new prescription by phone,Receives a new prescription at the drop window,Receives authorized refills by phone,,,,B,Only pharmacists or interns may accept new prescriptions over the phone. Technicians may accept refill requests or transfer prescriptions.,Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which of the following medications has the same therapeutic use as pravastatin (Pravachol)?,Fexofenadine (Allegra),Citalopram (Celexa),Lansoprazole (Prevacid),Simvastatin (Zocor),,,,D,Both pravastatin and simvastatin are HMG-CoA reductase inhibitors (statins) used to lower cholesterol.,Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Changes in a hospital drug formulary must be approved by which of the following organizations?,Pharmacy and Therapeutics (P&T) committee,Drug Utilization Review (DUR) committee,Drug Enforcement Agency (DEA),Food and Drug Administration (FDA),,,,A,"The Pharmacy and Therapeutics (P&T) Committee is responsible for developing and maintaining the hospital formulary, evaluating drugs for safety, efficacy, and cost-effectiveness.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which of the following actions should a pharmacy technician take when medication expires?,Return the medication to the pharmacy benefits manager.,Give the medication to the Drug Enforcement Administration.,Return the medication to the manufacturer.,Give the medication to the Environmental Protection Agency.,,,,C,Expired non-controlled medications should be returned to the manufacturer or reverse distributor for credit or proper disposal.,Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which of the following addresses must be printed on a prescription label?,Patient,Provider,Manufacturer,Pharmacy,,,,D,"Federal and state laws require the pharmacy name, address, and phone number to appear on every prescription label so the patient knows where the medication was dispensed.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,"Under the guidelines of HIPAA, which of the following patient information is classified as protected health information?",Patient's phone number,Patient's insurance coverage,Patient's employer,Patient's state of residence,,,,A,"HIPAA's Privacy Rule defines protected health information (PHI) as any individually identifiable health information, including demographic data such as name, address, phone number, and date of birth.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,A pharmacy technician is notified that a medication currently stocked is subject to a Class III recall. Which of the following actions should the technician take?,Review the safety data sheets.,Contact the FDA.,Post a recall notice.,Discontinue distributing the recalled lots.,,,,D,Class III recalls involve products unlikely to cause adverse health consequences; the pharmacy should simply remove the affected lots from stock and return them.,Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which of the following best describes the Orange Book?,A book located in the pharmacy that contains crucial information needed for running the pharmacy,A list of drug products approved by the FDA for effectiveness and bioequivalence,A book located in the pharmacy that describes basic and fundamental techniques on treating patient illnesses,"A list of unapproved FDA products, such as herbal medications and natural products",,,,B,"The FDA's Approved Drug Products with Therapeutic Equivalence Evaluations (Orange Book) lists drugs approved for safety and efficacy and assigns therapeutic equivalence ratings (e.g., AB-rated generics).",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which of the following medications should be avoided for patients who are younger than 19 years old?,Aspirin (Bayer),Acetaminophen (Tylenol),Ibuprofen (Motrin),Diphenhydramine (Benadryl),,,,A,"Aspirin is contraindicated in children and adolescents with viral infections due to the risk of Reye's syndrome, a potentially fatal condition.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,A pharmacy technician should recognize that which of the following abbreviations means 'right ear'?,ad,as,od,os,,,,A,"The abbreviation 'ad' stands for auris dextra (right ear), 'as' for auris sinistra (left ear), and 'au' for both ears.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,AB-rated and brand-name products should have which of the following in common?,Shape,Cost,Color,Strength,,,,D,"AB-rated generics are therapeutically equivalent to the brand-name drug, meaning they have the same active ingredient, strength, dosage form, and route of administration.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,A pharmacy technician needs to dispense 150 mL of a codeine cough syrup. Which of the following bottle sizes should the technician use to dispense the medication?,2 oz,3 oz,4 oz,6 oz,,,,D,150 mL = approximately 5 oz (30 mL = 1 oz). The next standard size larger than 5 oz is 6 oz (180 mL) to allow proper shaking and headspace.,Regular,,,
Pharmacy Technician,ExCPT exam practice test,,A pharmacy technician should identify that which of the following must be included on the prescription for a Schedule II medication?,National provider identifier (NPI),Controlled substance schedule number,National Drug Code (NDC),DEA number of the prescribing provider,,,,D,Schedule II prescriptions require the prescriber's DEA number to verify authority to prescribe controlled substances.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following is designed to slowly dissolve in the mouth?,Granules,Effervescent tablet,Troches,Caplet,,,,C,Troches (lozenges) are intended to dissolve slowly in the mouth for local or systemic absorption.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following medications is used to treat anxiety?,Cephalexin (Keflex),Clonazepam (Klonopin),Clonidine (Catapres),Rosuvastatin (Crestor),,,,B,Clonazepam is a benzodiazepine indicated for anxiety disorders and panic disorder.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,The generic name of a medication ends in '-olol.' For which of the following conditions is the medication used?,Hyperlipidemia,Hypertension,Herpes,Hypercholesterolemia,,,,B,"Drugs ending in '-olol' are beta-blockers (e.g., metoprolol, atenolol, propranolol) used primarily for hypertension and heart conditions.",Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,"A provider prescribes amoxicillin PO, but the patient receives the medication via IV. The pharmacy technician should identify this as which of the following medication errors?",Wrong route error,Wrong dose error,Wrong medication error,Wrong time error,,,,A,Administering a medication by a different route than prescribed (oral vs. intravenous) is classified as a wrong route error.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following must be the same for a brand name medication and its generic equivalent?,Dosage form,Inactive ingredient,Lot number,Medication color,,,,A,"Generic equivalents must have the same active ingredient, strength, dosage form, and route of administration as the brand-name drug.",Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following is true regarding the facsimile transmission of a prescription for a Schedule V medication?,Patients can transmit the prescription as long as it is signed by the provider.,Prescriptions do not have to be signed by the provider.,Prescriptions must be faxed from the provider's practice location.,Faxed prescriptions are not allowed to have refills.,,,,C,"Faxed prescriptions act as the original and may be filled, but for controlled substances, the fax must come from an authorized prescriber's location.",Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,The rule 'minimum necessary' as used in the federal privacy act (HIPAA) refers to which of the following?,The least amount of medication that should be dispensed at any one time,Providing the least amount of protected health information necessary to complete the task at hand,The least amount of money a patient should be charged for pharmacy services,The minimum standards for patient counseling,,,,B,HIPAA's Minimum Necessary Standard requires that only the least amount of PHI needed to accomplish the intended purpose be used or disclosed.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Hydromorphone is listed in which of the following schedule classifications?,Schedule II,Schedule III,Schedule IV,Schedule V,,,,A,Hydromorphone (Dilaudid) is a potent opioid analgesic classified as Schedule II due to its high potential for abuse and dependence.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following is the purpose of barcoding technology?,Identifies the location of a patient's room,Matches a medication order to the correct patient,Identifies supplies needed to restock a patient's room,Matches a provider to the correct operating room,,,,B,Barcoding (BCMA - barcode medication administration) helps ensure the 'five rights' by scanning the patient's wristband and the medication barcode to confirm the right patient receives the right drug.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,A pharmacy technician is required to include which of the following information when making an entry into the repackaging log?,Manufacturer,Directions for use,Pharmacy name,Patient name,,,,A,"Repackaging logs must document the manufacturer, lot number, expiration date, and quantity to ensure traceability.",Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following situations describes a patient medication adherence issue?,Inconsistent refilling of maintenance medications,Multiple prescriptions presented from the same prescriber,Large number of pharmacy transfers for the same patient,Patient is filling prescriptions from multiple prescribers,,,,A,Inconsistent or late refills of chronic medications indicate poor adherence to therapy.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,"While processing a prescription for warfarin (Coumadin), an interaction alert appears on the computer that requires intervention by the pharmacist. The pharmacy technician should identify that which of the following is most likely the cause of the alert?",Phytonadione (vitamin K),Cyanocobalamin (vitamin B12),Folic acid (vitamin B9),Ergocalciferol (vitamin D),,,,A,Vitamin K (phytonadione) antagonizes the anticoagulant effect of warfarin and can cause significant interaction.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,"When using a point-of-sale inventory system, which of the following steps should a pharmacy technician take if the demand for a medication goes up?",Increase the minimum order level,Decrease the maximum order level,Decrease the in-stock supply,Increase the price of medication,,,,A,Higher demand requires adjusting the minimum and reorder points upward to prevent stockouts.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,A pharmacy technician should obtain complete and current patient medication profiles to reduce which of the following occurrences?,Overmedication risk,Inventory disparity,Third-party billing discrepancy,Theft,,,,A,"Accurate medication profiles allow identification of duplicate therapy, drug interactions, and overutilization, reducing risk of harm.",Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,The Drug Listing Act of 1972 requires that the labels on drug manufacturers' packages include which of the following information?,Adverse effects,Common uses for the medication,Directions for use,NDC number,,,,D,The Drug Listing Act mandated that every marketed drug be assigned a unique National Drug Code (NDC) number for identification.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following should be used to match a medication to the correct prescription during the filling process?,Tablet shape and color,Expiration date and lot,Universal Product Code (UPC),National Drug Code (NDC),,,,D,"The NDC number uniquely identifies the manufacturer, drug, strength, and package size and is used to confirm the correct stock bottle was selected.",Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following describes the purpose of the Risk Evaluation and Mitigation Strategy (REMS) program?,To ensure a medication has benefits that outweigh its risks,To ensure a medication is safe for human consumption,To ensure that a medication is efficacious,To ensure that a medication dosing schedule is correct,,,,A,REMS programs are required for drugs with serious safety concerns to ensure that the benefits outweigh the risks through specific safety measures.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,A pharmacy technician should use a filter needle in which of the following situations?,Initially reconstituting a powdered medication in a vial,A laminar flow hood is not available and the medication must be compounded on a tabletop,Withdrawing a medication from an ampule,The needle has been used previously to draw up another product,,,,C,Filter needles or filter straws are required when withdrawing medication from glass ampules to remove potential glass particles.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,A pharmacy technician should identify that which of the following medications is regulated by Risk Evaluation and Mitigation Strategy (REMS) guidelines?,Isotretinoin (Accutane),Estradiol (Delestrogen),Warfarin (Coumadin),Insulin glargine (Lantus),,,,A,"Isotretinoin has a strict iPLEDGE REMS program due to teratogenic risks, requiring registration, pregnancy testing, and contraception.",Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,A pharmacy technician should identify that which of the following processes can reduce cross-contamination of medications?,Cleaning the pill-counting trays before each use,Counting medication out in multiples of five,Rinsing out dispensing vials prior to each use,Scheduling one pharmacy technician to fill medication at a time,,,,A,Cleaning counting trays with alcohol between each prescription is the most effective way to prevent cross-contamination of solid oral medications.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,A solution is 3% (w/v). What is the amount of active medication in 75 mL of the solution?,12.5 g,25 g,0.25 g,2.25 g,,,,D,3% w/v = 3 g/100 mL. In 75 mL: (3 g / 100 mL) x 75 mL = 2.25 g.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following is an advantage of using an automated dispensing machine in an institutional setting?,Decrease in inventory control,Decrease in security,Increase in turnaround time for medication orders,Increase in patient safety,,,,D,"Automated dispensing cabinets improve patient safety by reducing medication errors through profile checking, proper storage, and access control.",Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following assists individuals with low income?,Medicaid,Medicare,Workers' compensation,TRICARE,,,,A,Medicaid is the joint federal-state program that provides health coverage to low-income individuals and families.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,What is the infusion rate for a 50 mg/mL solution to provide 0.9 g/hr?,0.3 mL/min,0.93 mL/min,18 mL/min,55.5 mL/min,,,,A,0.9 g/hr = 900 mg/hr. Rate = 900 mg/hr / 50 mg/mL = 18 mL/hr. Convert to minutes: 18 mL/hr / 60 = 0.3 mL/min.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following describes the metabolism of a drug?,The process by which a drug enters the blood,The transformation of a drug to an active or inactive state,The transmission of a drug from blood plasma into tissues or organs,The process by which a drug leaves the body,,,,B,"Metabolism (biotransformation) is the chemical alteration of a drug, primarily in the liver, converting it to active, inactive, or toxic metabolites.",Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following classes of over-the-counter medications can increase blood pressure?,Decongestants,Antihistamines,Expectorants,Antitussives,,,,A,"Oral decongestants (pseudoephedrine, phenylephrine) stimulate alpha-adrenergic receptors and can raise blood pressure.",Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,A pharmacy technician should recognize that which of the following medications has the same therapeutic indication as behind-the-counter pseudoephedrine (Sudafed)?,Ranitidine (Zantac),Famotidine (Pepcid),Lansoprazole (Prevacid),Oxymetazoline (Afrin),,,,D,Both pseudoephedrine and oxymetazoline are decongestants; oxymetazoline is a nasal spray formulation used for the same purpose.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,A pharmacy technician should identify that which of the following describes a function of the State Board of Pharmacy?,Regulating prices of prescription medications,Supervising the development of prescription and over-the-counter medications,Assigning DEA numbers to providers,Revoking a pharmacy technician's license,,,,D,State Boards of Pharmacy license and discipline pharmacists and pharmacy technicians within their jurisdiction.,Regular,,,
